# Krusic - Pun Hill - ABSB - ITRDB NEPA035
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3792
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3792.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/nepa035-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nepa035-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/nepa035.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nepa035.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-24
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-24
#--------------------
# Title
#   Study_Name: Krusic - Pun Hill - ABSB - ITRDB NEPA035
#--------------------
# Investigators
#   Investigators: Krusic, P.J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Pun Hill
#   Location: Nepal
#   Northernmost_Latitude: 28.43
#   Southernmost_Latitude: 28.43
#   Easternmost_Longitude: 83.1
#   Westernmost_Longitude: 83.1
#   Elevation_m: 2950
#--------------------
# Data_Collection
#   Collection_Name: NEPA035
#   First_Year: 1872
#   Last_Year: 1993
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies spectabilis (D. Don) Spach
#   Common_Name: silver fir
#   Tree_Species_Code: ABSB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PHA1A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PHA1A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PHA5A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PHA5A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PHA5B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PHA5B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PHA2A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PHA2A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PHA2B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PHA2B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PHA5C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PHA5C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PHA6B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PHA6B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PHA6A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PHA6A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PHA1A_raw	PHA5A_raw	PHA5B_raw	PHA2A_raw	PHA2B_raw	PHA5C_raw	PHA6B_raw	PHA6A_raw
1947	0.907	1.027	1.549	5.952	5.055	0.664	0.703	1.315
1948	1.092	0.663	1.277	4.701	4.399	0.623	0.54	0.944
1949	0.96	0.409	1.133	4.552	4.102	0.35	0.305	0.74
1950	1.1	0.625	1.805	6.802	7.753	0.761	0.458	0.836
1951	1.022	0.949	1.791	6.94	7.445	0.621	0.712	1.027
1952	0.909	0.916	2.027	7.578	7.027	1.065	0.987	1.791
1953	0.68	0.642	1.388	5.755	6.8	0.476	0.769	1.71
1954	0.904	0.709	1.842	5.834	6.97	0.742	1.324	1.98
1955	0.772	0.683	1.98	5.623	5.969	0.714	1.1	1.498
1956	0.701	0.515	1.912	5.015	6.777	0.666	1.253	0.971
1957	0.984	0.583	2.698	5.17	6.753	0.811	2.809	1.99
1958	1.059	0.666	1.911	6.515	7.91	0.815	2.026	1.881
1959	0.961	0.555	1.802	5.819	5.891	0.595	1.388	1.013
1960	0.546	0.528	1.44	3.554	3.076	0.283	0.711	0.268
1961	0.834	0.76	1.946	3.02	3.152	0.55	0.74	0.523
1962	0.957	0.777	1.701	3.362	3.434	0.988	1.006	0.819
1963	1.091	0.115	1.234	3.069	3.845	0.984	0.906	0.711
1964	1.063	0.898	1.135	2.395	3.09	1.13	0.935	0.662
1965	0.8	0.63	0.82	2.433	2.599	0.731	0.873	0.533
1966	0.906	0.515	0.723	3.679	3.138	1.342	1.504	1.131
1967	0.729	0.419	0.897	2.551	2.311	0.769	0.958	0.676
1968	0.819	0.586	1.145	4.111	3.38	1.14	1.36	0.93
1969	0.759	0.505	0.935	3.54	3.094	1.068	1.065	0.981
1970	0.902	0.666	1.217	3.33	2.838	0.995	1.36	1.202
1971	0.869	0.79	1.387	3.555	3.691	1.4	1.348	0.699
1972	1.356	1.049	1.45	3.729	3.631	1.351	1.103	0.623
1973	1.148	0.619	0.993	2.308	2.255	0.835	0.731	0.465
1974	0.99	0.926	1.031	1.955	1.958	1.184	0.545	0.347
1975	0.746	0.578	0.638	1.528	1.451	0.755	0.389	0.458
1976	1.267	0.745	0.819	2.305	2.043	1.083	0.801	0.814
1977	1.368	0.845	0.845	2.12	2.067	1.643	0.726	0.303
1978	0.838	0.867	0.984	2.048	2.188	1.279	0.112	0
1979	0.921	1.111	1.258	2.427	2.036	1.949	0.375	0.531
1980	1.203	1.054	1.006	2.347	2.366	1.67	0.432	0.578
1981	0.482	0.822	0.767	1.613	1.325	1.368	0.236	0.349
1982	0.839	0.847	0.85	1.38	1.186	1.185	0.202	0.351
1983	1.173	1	0.918	1.674	1.671	1.496	0.503	0.513
1984	1.005	0.689	0.812	1.52	1.363	1.093	0.5	0.537
1985	1.317	0.76	0.983	2.263	2.08	1.299	0.46	0.597
1986	0.978	0.935	1.19	3.144	2.432	1.693	0.767	1.113
1987	0.974	1.072	1.054	4.105	3.68	1.902	0.809	1.144
1988	1.08	0.704	0.805	3.726	3.856	1.364	0.639	0.805
1989	0.957	0.878	0.891	3.079	3.472	1.388	0.707	0.816
1990	1.059	0.799	0.792	3.518	3.209	1.259	0.842	0.995
1991	1.127	0.959	0.809	5.38	3.952	1.067	0.984	1.044
1992	0.833	0.936	0.901	3.026	2.375	0.951	0.76	1.042
1993	0.778	1.279	1.223	2.315	2.039	0.954	0.828	1.041
