# Larsen - Wood Buffalo National Park Site PR - PIBN - ITRDB CANA132
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3863
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3863.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana132-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana132-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana132.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana132.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-09-24
#--------------------
# File_Last_Modified_Date
#   Date: 2002-09-24
#--------------------
# Title
#   Study_Name: Larsen - Wood Buffalo National Park Site PR - PIBN - ITRDB CANA132
#--------------------
# Investigators
#   Investigators: Larsen, C.; Moser, K.A.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Wood Buffalo National Park Site PR
#   Location: Alberta
#   Northernmost_Latitude: 59.75
#   Southernmost_Latitude: 59.75
#   Easternmost_Longitude: -112.2
#   Westernmost_Longitude: -112.2
#   Elevation_m: 250
#--------------------
# Data_Collection
#   Collection_Name: CANA132
#   First_Year: 1852
#   Last_Year: 1992
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus banksiana Lamb.
#   Common_Name: jack pine
#   Tree_Species_Code: PIBN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## pars  71_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  71; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  72_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  72; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  73_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  73; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  74_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  74; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  75_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  75; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  77_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  77; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  81_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  81; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  82_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  82; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  86_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  86; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  87_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  87; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	pars  71_raw	pars  72_raw	pars  73_raw	pars  74_raw	pars  75_raw	pars  77_raw	pars  81_raw	pars  82_raw	pars  86_raw	pars  87_raw
1893	0.84	NA	1.39	1.25	0.4	0.67	0.8	0.73	1.12	0.69
1894	0.74	NA	1.57	1.38	0.53	1.23	0.71	0.86	1.01	0.78
1895	0.73	NA	1.57	1.45	0.51	1.31	0.6	0.82	1.05	0.61
1896	0.97	NA	1.37	1.12	0.64	1.18	0.61	0.8	0.88	0.7
1897	0.72	NA	1.02	0.95	0.54	1.11	0.65	0.85	0.95	0.75
1898	0.66	NA	1.03	1.56	0.55	1.13	0.7	0.75	0.87	0.79
1899	0.58	NA	1.2	1.94	0.59	0.95	0.62	0.72	0.95	0.65
1900	0.8	1.47	1.18	1.54	0.59	1.24	0.61	0.79	1.02	0.72
1901	0.77	1.48	1.15	1.37	0.57	1.28	0.6	0.8	0.45	0.72
1902	0.57	1.04	1.03	0.82	0.55	0.97	0.49	0.6	0.45	0.53
1903	0.56	1.66	1.32	1.17	0.61	1.12	0.61	0.72	0.65	0.49
1904	0.49	1.33	1.11	0.88	0.73	1.56	0.49	0.66	0.92	0.59
1905	0.59	1.51	0.93	1.1	0.73	1.37	0.51	0.56	0.66	0.53
1906	0.45	1.35	0.74	0.95	0.47	0.76	0.51	0.6	0.43	0.41
1907	0.47	1.35	0.92	0.99	0.45	0.49	0.53	0.7	0.34	0.37
1908	0.4	1.17	0.76	0.72	0.5	0.46	0.53	0.43	0.48	0.36
1909	0.41	1.18	0.71	1.02	0.35	0.48	0.65	0.63	0.76	0.39
1910	0.8	1.41	1.16	1.42	0.66	0.55	0.83	0.7	0.8	0.57
1911	0.84	1.15	1.19	1.29	0.51	0.76	0.73	0.78	0.67	0.64
1912	0.65	0.96	0.73	0.94	0.66	0.52	0.63	0.65	0.55	0.58
1913	0.59	0.85	0.79	0.56	0.39	0.46	0.53	0.68	0.45	0.41
1914	0.45	0.8	0.68	0.84	0.35	0.42	0.47	0.75	0.4	0.39
1915	0.64	1	0.54	0.87	0.4	0.4	0.42	0.55	0.3	0.48
1916	0.48	1.15	0.75	0.98	0.3	0.38	0.3	0.56	0.35	0.37
1917	0.59	1.69	0.88	0.89	0.44	0.41	0.54	0.58	0.29	0.42
1918	0.56	1.45	0.99	1	0.42	0.56	0.46	0.47	0.18	0.41
1919	0.74	1.25	1.18	1.31	0.56	0.68	0.2	0.32	0.14	0.32
1920	0.93	1.47	0.83	1.53	0.41	0.51	0.13	0.27	0.26	0.16
1921	0.78	1.43	0.58	1.41	0.44	0.81	0.21	0.33	0.33	0.3
1922	1	1.86	0.54	1.1	0.4	1.27	0.22	0.42	0.23	0.39
1923	0.74	1.22	0.52	0.82	0.44	0.85	0.29	0.4	0.42	0.54
1924	0.66	1.82	0.51	1.09	0.54	0.92	0.25	0.35	0.43	0.5
1925	0.92	1.19	0.53	1.11	0.67	0.96	0.22	0.18	0.63	0.7
1926	0.87	1.36	0.72	1.13	0.55	0.91	0.36	0.19	0.47	0.56
1927	0.69	0.77	0.63	0.98	0.43	0.8	0.3	0.26	0.78	0.42
1928	0.58	1.09	0.17	0.66	0.39	0.94	0.29	0.31	0.83	0.65
1929	0.72	1.19	0.32	0.53	0.57	1.37	0.52	0.33	0.88	0.85
1930	0.78	1.27	0.43	0.85	0.58	1.43	0.5	0.26	1.19	0.9
1931	1.03	1.71	0.56	1.03	0.92	2.11	0.53	0.39	1.08	0.83
1932	0.93	1.35	0.43	0.84	0.76	1.72	0.39	0.46	0.97	0.54
1933	0.87	0.99	0.6	0.8	0.64	1.11	0.36	0.32	0.78	0.38
1934	0.63	0.81	0.39	0.47	0.6	1.08	0.47	0.31	0.88	0.42
1935	0.43	1.03	0.51	0.81	0.66	1.07	0.55	0.31	0.81	0.65
1936	0.45	0.94	0.52	0.61	0.67	0.94	0.55	0.43	0.76	0.65
1937	0.67	0.92	0.38	0.57	0.66	1.19	0.51	0.41	0.74	0.66
1938	0.71	0.85	0.36	0.42	0.73	1.2	0.63	0.45	0.4	0.71
1939	0.53	0.64	0.41	0.3	0.53	1.15	0.58	0.42	0.23	0.55
1940	0.52	0.57	0.36	0.24	0.52	1.05	0.53	0.6	0.34	0.47
1941	0.45	0.62	0.3	0.34	0.58	0.88	0.59	0.59	0.4	0.47
1942	0.4	0.56	0.36	0.46	0.58	0.78	0.47	0.54	0.46	0.52
1943	0.36	0.49	0.4	0.4	0.59	0.75	0.44	0.52	0.48	0.5
1944	0.55	0.87	0.37	0.35	0.47	0.95	0.5	0.36	0.45	0.55
1945	0.75	0.86	0.38	0.55	0.59	0.86	0.39	0.51	0.46	0.44
1946	1.02	0.62	0.29	0.51	0.56	1.15	0.41	0.69	0.65	0.67
1947	0.84	0.65	0.34	0.62	0.56	0.86	0.49	0.71	0.47	0.51
1948	0.47	0.49	0.35	0.43	0.57	0.59	0.51	0.41	0.27	0.44
1949	0.87	0.77	0.34	0.54	0.91	0.96	0.66	0.41	0.4	0.59
1950	0.53	0.68	0.31	0.41	0.99	0.62	0.76	0.41	0.33	0.47
1951	0.4	0.77	0.39	0.34	0.75	0.81	0.74	0.41	0.29	0.43
1952	0.42	0.62	0.27	0.3	0.45	0.58	0.5	0.25	0.37	0.26
1953	0.37	0.52	0.29	0.4	0.52	0.96	0.58	0.39	0.41	0.27
1954	0.58	0.44	0.34	0.55	0.5	0.84	0.62	0.51	0.41	0.46
1955	0.51	0.69	0.44	0.44	0.61	0.97	0.6	0.46	0.38	0.5
1956	0.86	0.98	0.53	0.63	0.84	0.96	0.59	0.42	0.45	0.56
1957	0.74	0.76	0.4	0.52	0.66	1.21	0.4	0.48	0.45	0.45
1958	0.64	0.83	0.31	0.47	0.75	1.15	0.53	0.32	0.32	0.53
1959	0.72	0.8	0.37	0.43	0.97	1.62	0.74	0.42	0.63	0.42
1960	0.91	1.21	0.32	0.64	0.87	1.15	0.91	0.36	0.45	0.54
1961	0.69	0.92	0.35	0.58	0.46	0.91	0.62	0.36	0.5	0.35
1962	0.54	0.74	0.23	0.43	0.38	1.29	0.59	0.37	0.72	0.4
1963	0.91	0.99	0.36	0.47	0.78	1.25	0.76	0.55	0.21	0.48
1964	0.81	0.85	0.34	0.49	0.51	0.98	0.73	0.83	0.2	0.56
1965	0.9	0.81	0.35	0.32	0.73	1.03	1.24	0.81	0.2	0.74
1966	0.82	0.76	0.31	0.38	0.7	0.87	0.94	0.55	0.23	0.56
1967	0.7	0.55	0.26	0.37	0.56	0.64	0.71	0.38	0.3	0.46
1968	0.62	0.47	0.26	0.45	0.63	0.74	0.59	0.33	0.47	0.4
1969	0.48	0.52	0.25	0.4	0.72	0.9	0.55	0.45	0.51	0.43
1970	0.51	0.62	0.38	0.39	0.8	0.88	0.5	0.34	0.38	0.35
1971	0.5	0.5	0.29	0.29	0.68	0.82	0.43	0.17	0.32	0.4
1972	0.4	0.39	0.27	0.24	0.67	0.85	0.23	0.17	0.35	0.33
1973	0.35	0.31	0.3	0.22	0.58	0.56	0.36	0.15	0.17	0.45
1974	0.51	0.55	0.34	0.26	0.6	0.65	0.55	0.17	0.22	0.51
1975	0.43	0.5	0.37	0.28	0.69	0.52	0.65	0.3	0.28	0.58
1976	1.02	0.85	0.43	0.35	0.94	0.68	0.69	0.37	0.29	0.81
1977	0.9	0.63	0.52	0.36	1.09	0.61	0.78	0.35	0.66	0.77
1978	0.69	0.45	0.32	0.2	0.86	0.72	0.74	0.4	0.65	0.71
1979	0.82	0.44	0.43	0.19	0.88	0.54	0.61	0.25	0.34	0.58
1980	1.03	0.39	0.36	0.22	0.76	0.47	0.6	0.21	0.25	0.48
1981	1.17	0.32	0.28	0.16	0.8	0.56	0.49	0.16	0.24	0.38
1982	1.49	0.3	0.27	0.11	0.56	0.39	0.32	0.22	0.19	0.16
1983	1.34	0.28	0.28	0.15	0.54	0.7	0.34	0.17	0.12	0.28
1984	1.82	0.31	0.33	0.3	0.8	0.85	0.59	0.23	0.14	0.28
1985	1.3	0.45	0.33	0.18	0.74	0.76	0.47	0.13	0.15	0.35
1986	1.39	0.34	0.28	0.15	0.68	0.83	0.49	0.24	0.12	0.41
1987	1.23	0.27	0.26	0.19	0.64	0.7	0.47	0.21	0.19	0.39
1988	1.25	0.16	0.36	0.29	0.81	0.49	0.46	0.32	0.16	0.52
1989	1.36	0.25	0.3	0.19	0.46	0.42	0.46	0.22	0.2	0.51
1990	1.21	0.19	0.37	0.14	0.63	0.45	0.3	0.24	0.19	0.45
1991	0.95	0.25	0.42	0.31	0.98	0.54	0.36	0.28	0.12	0.46
1992	0.58	0.2	0.32	0.22	0.39	0.45	0.43	0.32	0.13	0.39
