# Stefanuk - Frontenac Arch FR07 - ACSH - ITRDB CANA630
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32607
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32607.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana630-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana630-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana630.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana630.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-02-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-02-05
#--------------------
# Title
#   Study_Name: Stefanuk - Frontenac Arch FR07 - ACSH - ITRDB CANA630
#--------------------
# Investigators
#   Investigators: Stefanuk, M.A.; Danby, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: Sample plots were circular with a radius of 75m, located within sugar maple dominated stands in protected areas within each region including Algonquin Provincial Park, Frontenac Provincial Park, Charleston Lake Provincial Park and the Queen's University Biological Station. NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Canadian Foundation for Innovation
#   Grant: 22534
#--------------------
# Site_Information
#   Site_Name: Frontenac Arch FR07
#   Location: Canada
#   Northernmost_Latitude: 44.506864
#   Southernmost_Latitude: 44.506864
#   Easternmost_Longitude: -76.042256
#   Westernmost_Longitude: -76.042256
#   Elevation_m: 92
#--------------------
# Data_Collection
#   Collection_Name: CANA630
#   First_Year: 1853
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Acer saccharum Marsh.
#   Common_Name: sugar maple
#   Tree_Species_Code: ACSH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 094FR07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 094FR07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 094FR07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 094FR07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 095FR07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 095FR07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 096FR07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 096FR07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 096FR07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 096FR07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 097FR07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 097FR07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 097FR07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 097FR07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	094FR07A_raw	094FR07B_raw	095FR07B_raw	096FR07A_raw	096FR07B_raw	097FR07A_raw	097FR07B_raw
1941	0.71	0.925	1.236	0.284	0.398	1.354	1.275
1942	0.61	1.128	1.303	0.492	0.487	1.511	1.244
1943	0.786	1.016	1.289	0.45	0.571	1.024	0.802
1944	0.428	0.828	1.064	0.522	0.529	0.551	0.487
1945	1.012	1.235	1.269	0.882	0.774	1.111	0.736
1946	1.909	1.843	3.252	2.186	1.638	1.624	1.356
1947	1.629	2.14	2.682	1.876	2.072	1.838	1.487
1948	0.726	1.082	1.283	0.914	1.025	1.334	1.033
1949	1.704	2.206	1.712	1.989	1.704	1.846	1.414
1950	2.012	2.753	2.741	1.454	1.837	1.418	1.283
1951	0.395	0.475	0.369	0.416	0.434	0.367	0.226
1952	0.594	1.914	1.084	0.498	0.707	0.929	0.481
1953	1.831	2.51	2.251	1.569	2.193	1.534	1.016
1954	1.178	1.419	1.363	1.162	1.622	1.371	0.88
1955	1.553	1.991	2.008	1.165	1.839	1.321	0.95
1956	2.154	1.802	2.575	1.148	0.169	1.378	1.011
1957	1.587	1.156	0.917	0.869	2.34	1.272	0.91
1958	1.87	1.893	1.296	0.637	1.289	1.229	1.007
1959	0.108	0	0.019	0.248	1.669	0.065	0
1960	1.699	1.675	0.937	1.004	1.202	0.591	0.877
1961	2.412	2.626	1.393	0.774	1.28	0.571	0.474
1962	1.003	1.273	1.003	0.669	0.773	0.227	0.341
1963	1.38	1.458	0.949	0.52	0.795	0.366	0.788
1964	1.6	1.777	0.83	0.733	0.979	0.429	1.072
1965	0.954	1.219	0.456	0.459	0.51	0.492	0.944
1966	1.439	1.285	0.609	0.448	0.756	0.581	1.093
1967	2.441	0.603	0.869	0.661	1.203	0.723	1.411
1968	1.526	1.283	0.933	1.028	1.544	0.706	1.5
1969	1.728	2.76	1.595	0.983	1.704	1.082	1.296
1970	1.768	2.378	1.792	1.145	1.783	0.905	1.462
1971	1.12	1.22	0.746	0.687	1.342	0.89	1.259
1972	2.162	2.143	1.672	1.439	2.2	1.221	1.401
1973	1.462	1.594	1.236	0.664	1.112	0.806	1.027
1974	2.054	1.791	1.224	1.205	2.395	1.155	1.519
1975	1.243	1.474	0.635	0.749	1.206	1.124	1.289
1976	1.369	1.536	1.086	0.971	1.328	1.083	1.145
1977	0.644	0.781	0.949	0.617	0.672	0.932	1.14
1978	0.708	0.808	0.931	0.461	0.58	0.868	0.959
1979	1.412	1.419	1.695	0.815	1.206	1.128	1.265
1980	2.244	2.761	3.078	1.26	1.461	1.189	1.483
1981	1.163	1.765	2.048	0.57	0.646	0.811	0.939
1982	0.953	1.375	1.353	0.732	0.726	0.709	1.309
1983	0.862	0.993	0.488	0.197	0.231	0.582	0.839
1984	0.87	0.795	1.163	0.467	0.458	0.887	0.646
1985	1.144	0.926	1.54	1.306	1.458	1.138	0.877
1986	1.035	1.303	1.529	0.713	1.315	1.9	1.531
1987	1.473	1.295	1.333	0.598	1.108	1.688	1.612
1988	1.004	0.884	0.798	0.736	0.998	1.427	1.576
1989	1.306	1.431	1.629	1.074	0.979	1.275	1.401
1990	1.684	1.134	2.195	1.258	1.056	1.079	1.38
1991	0.961	0.611	0.911	0.575	0.608	0.897	0.983
1992	1.138	0.567	0.93	0.275	0.393	1.118	1.323
1993	1.07	0.961	0.881	0.503	0.499	0.906	1.119
1994	1.12	0.9	1.246	0.459	0.522	0.743	1.056
1995	0.757	0.4	0.67	0.362	0.462	0.713	1.015
1996	1.604	0.715	1.098	0.332	0.534	1.102	1.278
1997	1.425	1.04	1.031	0.437	0.819	0.924	1.105
1998	1.182	0.915	0.77	0.524	1.104	0.858	0.766
1999	0.747	0.689	0.507	0.332	0.685	0.608	0.511
2000	2.185	1.14	2.134	0.623	1.406	0.43	1.566
2001	1.225	0.985	1.319	0.543	0.861	0.646	1.224
2002	1.08	0.671	1.042	0.782	0.753	0.41	0.975
2003	0.984	0.567	1.389	0.519	0.714	0.625	1.157
2004	1.521	1.595	1.798	0.579	1.631	1	1.103
2005	1.408	0.766	0.656	0.256	0.551	0.993	1.312
2006	1.747	1.287	0.704	0.29	0.635	1.541	1.376
2007	1.216	1.043	0.478	0.204	0.595	1.929	1.534
2008	1.665	1.106	0.539	0.176	1.028	2.175	1.872
2009	1.802	1.668	0.929	0.655	0.818	1.707	1.46
2010	1.801	1.023	0.836	0.6	0.636	2.088	1.465
2011	1.473	1.249	0.808	0.575	0.618	1.144	1.039
2012	0.715	0.743	0.595	0.149	0.258	1.084	0.844
2013	1.795	1.829	0.96	0.61	0.877	0.886	0.813
2014	1.528	1.246	1.461	0.3	0.366	0.501	0.674
2015	2.169	1.555	2.043	0.234	0.446	0.726	1.065
2016	1.161	1.828	0.796	0.234	0.153	0.693	0.788
2017	0.945	1.48	0.765	0.042	0.206	0.316	0.288
