# Stefanuk - Algonquin Highlands AL01 - ACSH - ITRDB CANA615
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32592
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32592.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana615-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana615-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana615.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana615.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-02-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-02-05
#--------------------
# Title
#   Study_Name: Stefanuk - Algonquin Highlands AL01 - ACSH - ITRDB CANA615
#--------------------
# Investigators
#   Investigators: Stefanuk, M.A.; Danby, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: Sample plots were circular with a radius of 75m, located within sugar maple dominated stands in protected areas within each region including Algonquin Provincial Park, Frontenac Provincial Park, Charleston Lake Provincial Park and the Queen's University Biological Station. NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Canadian Foundation for Innovation
#   Grant: 22534
#--------------------
# Site_Information
#   Site_Name: Algonquin Highlands AL01
#   Location: Canada
#   Northernmost_Latitude: 45.47067
#   Southernmost_Latitude: 45.47067
#   Easternmost_Longitude: -78.7045
#   Westernmost_Longitude: -78.7045
#   Elevation_m: 447
#--------------------
# Data_Collection
#   Collection_Name: CANA615
#   First_Year: 1885
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Acer saccharum Marsh.
#   Common_Name: sugar maple
#   Tree_Species_Code: ACSH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 013AL01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 013AL01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 013AL01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 013AL01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 014AL01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 014AL01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 014AL01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 014AL01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 015AL01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 015AL01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 015AL01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 015AL01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	013AL01A_raw	013AL01B_raw	014AL01A_raw	014AL01B_raw	015AL01A_raw	015AL01B_raw
2006	0.761	0.645	0.706	1.725	0	0
2007	1.795	0.63	0	1.923	0.152	0.035
2008	1.784	0.969	0.745	2.145	0.48	0.349
2009	1.611	0.78	0.362	1.633	0.374	0.324
2010	2.025	1.249	0.757	1.586	0.285	0.333
2011	1.609	1.372	1.373	2.114	0.67	0.592
2012	0.963	0.801	0.968	1.383	0.632	0.359
2013	0.961	1.179	0.959	1.406	0.75	0.429
2014	1.816	1.606	1.225	1.82	1.306	0.758
2015	1.863	1.965	1.302	2.218	1.271	1.21
2016	2.281	2.385	1.279	2.225	1.113	1.097
2017	1.935	1.259	1.839	2.871	0.865	0.635
