# St. George - St. Norbert - QUMA - ITRDB CANA190
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4803
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4803.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana190-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana190-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana190.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana190.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-09-13
#--------------------
# File_Last_Modified_Date
#   Date: 2002-09-13
#--------------------
# Title
#   Study_Name: St. George - St. Norbert - QUMA - ITRDB CANA190
#--------------------
# Investigators
#   Investigators: St. George, S.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: St. Norbert
#   Location: Manitoba
#   Northernmost_Latitude: 49.75
#   Southernmost_Latitude: 49.75
#   Easternmost_Longitude: -97.15
#   Westernmost_Longitude: -97.15
#   Elevation_m: 230
#--------------------
# Data_Collection
#   Collection_Name: CANA190
#   First_Year: 1855
#   Last_Year: 1998
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrocarpa Michx.
#   Common_Name: burr oak
#   Tree_Species_Code: QUMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## n9901a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9901a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## n9902a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9902a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## n9903a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9903a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## N9904a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: N9904a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## n9905a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9905a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## n9906a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9906a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## n9907a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9907a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## n9908a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9908a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## n9909a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9909a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## n9910a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9910a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	n9901a_raw	n9902a_raw	n9903a_raw	N9904a_raw	n9905a_raw	n9906a_raw	n9907a_raw	n9908a_raw	n9909a_raw	n9910a_raw
1918	1.192	1.141	1.438	1.83	0.718	1.032	1.512	1.17	1.354	2.282
1919	1.082	1.049	1.368	1.523	0.905	0.91	1.686	1.296	1.159	2.57
1920	1.111	1.114	1.026	1.577	0.81	0.981	1.419	1.295	1.088	1.798
1921	1.355	1.243	1.27	1.988	1.266	1.26	1.483	1.374	1.321	1.986
1922	1.146	1.361	1.375	1.792	1.241	1.201	1.791	1.394	1.281	3.062
1923	1.149	1.52	1.13	1.713	1.318	1.165	1.714	1.331	1.041	2.664
1924	0.971	1.32	1.098	1.596	1.083	0.962	1.553	1.097	1.092	1.893
1925	1.085	1.638	1.287	1.631	1.609	1.087	1.67	1.106	1.203	2.256
1926	0.927	1.369	0.926	1.445	1.402	0.792	1.345	0.943	0.95	1.763
1927	1.086	1.749	1.161	1.463	1.638	0.918	1.899	1.138	1.554	2.707
1928	1.1	1.262	1.286	1.581	1.565	1.066	1.501	1.063	1.561	2.484
1929	1.011	1.18	1.103	1.467	1.222	0.884	1.379	1.103	1.43	2.164
1930	1.176	1.083	1.095	1.45	1.081	0.908	1.341	1.027	1.208	1.667
1931	1.042	0.73	0.854	1.303	0.972	0.849	1.326	1.041	1.314	1.521
1932	1.011	0.815	1.261	1.338	0.932	0.941	1.238	0.845	1.194	2.08
1933	1.042	0.803	1.361	1.375	0.974	0.943	1.281	0.916	1.07	1.856
1934	1.319	1.183	1.412	1.68	1.135	1.222	1.169	1.43	1.364	2.281
1935	1.569	1.533	2.041	2.041	1.377	1.607	1.646	2.006	1.844	3.239
1936	1.244	1.022	1.138	1.361	0.888	1.041	1.061	1.06	1.158	2.201
1937	1.515	1.195	1.574	1.721	0.994	1.352	1.319	0.851	0.837	1.437
1938	1.137	0.8	1.311	1.375	0.998	1.095	1.339	0.676	0.589	1.226
1939	1.245	0.815	1.368	1.255	1.193	0.906	1.302	0.759	0.587	1.592
1940	1.028	0.964	1.322	1.458	1.048	1.345	1.358	0.777	0.737	1.662
1941	1.333	1.039	1.638	1.587	1.182	1.366	1.615	1.013	0.722	2.286
1942	0.996	0.698	1.086	1.143	1.237	0.643	1.872	0.804	0.503	2.107
1943	1.18	0.583	1.34	1.034	1.038	0.869	1.618	0.658	0.5	1.751
1944	1.126	0.832	1.056	1.365	1.069	1.064	1.996	0.784	0.57	2.646
1945	1.359	1.068	1.63	1.594	1.175	1.337	1.882	1.017	0.852	3.275
1946	0.995	0.698	1.118	1.403	0.564	1.082	1.19	0.972	0.775	2.654
1947	1.392	0.996	1.428	1.652	1.099	1.168	1.869	1.484	1.034	2.63
1948	1.293	1.029	1.42	1.444	1.137	1.321	2.311	1.179	0.902	2.652
1949	1.08	0.857	1.03	1.254	1.046	0.969	1.76	0.92	0.75	1.183
1950	1.657	1.89	1.619	1.851	1.916	1.577	3.187	1.36	1.016	2.405
1951	1.207	0.825	1.042	1.253	1.083	0.746	2.001	0.812	0.661	1.76
1952	1.216	0.534	0.584	1.146	0.986	0.658	1.373	0.666	0.928	1.756
1953	1.726	1.169	1.601	1.863	1.369	1.37	2.123	0.96	1.194	2.355
1954	1.426	1.214	1.621	1.958	1.491	1.417	2.274	1.028	1.29	2.385
1955	1.244	1.262	1.41	1.632	1.345	1.567	1.895	0.831	1.03	2.35
1956	1.28	1.164	1.138	1.564	1.347	1.354	2.239	0.924	0.806	2.639
1957	1.399	1.711	1.775	1.916	1.639	1.87	2.097	1.618	1.44	2.76
1958	1.417	1.488	1.281	1.659	1.494	1.473	1.794	1.465	0.954	2.212
1959	1.248	1.222	1.388	1.467	1.564	1.264	1.65	0.951	0.778	1.665
1960	0.777	0.828	0.927	0.865	1.208	0.861	1.182	1.018	0.624	0.936
1961	1.155	0.651	0.929	0.914	1.002	0.714	1.106	0.82	0.702	1.038
1962	1.198	0.818	1.106	1.069	1.266	0.952	1.682	0.704	0.694	1.373
1963	1.054	0.919	1.277	1.128	1.24	0.962	1.432	0.849	0.644	2.011
1964	1.181	1.047	1.504	1.525	1.627	1.222	1.539	0.89	0.825	1.492
1965	0.966	1.007	1.398	1.369	1.738	1.185	1.713	0.647	0.752	1.169
1966	1.025	0.924	1.49	1.511	1.607	1.275	2.013	0.429	1.162	1.337
1967	0.98	0.799	1.14	1.298	1.319	1.305	1.407	0.278	0.932	1.091
1968	1.119	0.938	1.702	1.973	1.674	1.727	1.899	0.235	1.44	1.037
1969	0.902	1.02	1.764	1.457	1.545	1.287	1.69	0.375	1.445	1.891
1970	1.052	0.908	1.693	1.317	1.506	1.176	1.687	0.3	1.041	2.414
1971	0.853	0.836	1.32	1.389	1.272	1.096	1.407	0.345	1.197	1.611
1972	0.802	0.818	1.178	1.162	0.936	0.954	1.193	0.319	0.91	1.143
1973	1.014	1.075	1.371	1.47	1.19	1.13	1.541	0.392	1.403	1.199
1974	0.864	0.84	0.839	0.973	0.675	0.784	0.865	0.364	0.801	1.031
1975	0.904	0.764	1.286	1.371	1.178	0.78	1.159	0.385	0.813	1.038
1976	0.796	0.722	0.963	1.095	0.838	0.626	0.897	0.387	0.604	0.96
1977	0.788	0.603	0.805	0.936	0.684	0.373	1.047	0.411	0.46	0.766
1978	0.592	0.734	1.011	0.925	0.938	0.788	0.762	1.048	0.581	1.559
1979	0.769	0.639	0.832	0.802	0.957	0.586	0.849	0.655	0.617	1.306
1980	0.667	0.572	0.688	0.787	0.642	0.461	0.729	0.557	0.445	0.783
1981	0.86	0.819	1.177	1.139	0.91	0.813	0.986	1.045	0.708	1.391
1982	0.767	0.796	0.854	0.785	0.819	0.672	0.783	0.793	0.358	1.259
1983	0.793	0.759	0.93	0.942	0.841	0.709	0.856	1.058	0.686	1.436
1984	0.781	0.712	0.948	0.911	0.871	0.735	0.714	0.841	0.738	1.338
1985	0.619	0.55	0.818	0.767	0.703	0.551	0.759	0.723	0.458	1.095
1986	0.723	0.761	1.005	0.869	1.292	0.735	1.372	1.187	0.514	1.77
1987	0.906	0.732	0.876	1.054	0.91	0.656	1.092	0.779	0.455	1.608
1988	0.904	0.722	0.652	0.682	0.712	0.572	0.83	0.658	0.469	1.263
1989	0.847	0.819	0.824	1.078	1.154	0.748	1.309	0.465	0.518	1.695
1990	0.848	0.755	0.707	1.019	1.065	0.74	1.134	0.58	0.509	1.692
1991	0.912	0.695	0.757	0.853	1.037	0.856	1.061	0.553	0.535	1.92
1992	0.789	0.789	0.531	0.836	1.06	0.998	1	0.5	0.597	1.449
1993	0.81	0.713	0.578	0.749	1.005	0.669	1.023	0.529	0.61	1.686
1994	0.949	0.846	0.859	0.968	1.244	0.809	1.084	0.565	0.761	1.796
1995	0.927	0.716	0.532	0.733	0.886	0.507	0.777	0.439	0.561	1.284
1996	0.934	0.839	0.794	0.858	1.281	0.769	1.169	0.548	0.544	1.639
1997	1.009	0.671	0.854	0.989	1.238	0.92	1.083	0.669	0.651	1.798
1998	1	0.877	0.942	0.919	1.078	1.036	1.087	0.697	0.719	1.784
