# D'Arrigo - Nutak - PCGL - ITRDB CANA160
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3056
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3056.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana160-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana160-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana160.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana160.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: D'Arrigo - Nutak - PCGL - ITRDB CANA160
#--------------------
# Investigators
#   Investigators: D'Arrigo, R.D.(https://orcid.org/0000-0002-9797-0796); Buckley, B.M.; Jacoby, G.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Nutak
#   Location: Newfoundland
#   Northernmost_Latitude: 57.5
#   Southernmost_Latitude: 57.5
#   Easternmost_Longitude: -61.75
#   Westernmost_Longitude: -61.75
#   Elevation_m: 25
#--------------------
# Data_Collection
#   Collection_Name: CANA160
#   First_Year: 1700
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea glauca (Moench) Voss
#   Common_Name: white spruce
#   Tree_Species_Code: PCGL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## OI-01-A._raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-01-A.; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-01-B._raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-01-B.; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-03-B._raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-03-B.; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-03.se_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-03.se; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-07-B._raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-07-B.; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-07.SE_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-07.SE; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-11-B._raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-11-B.; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-12-A._raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-12-A.; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-12-B._raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-12-B.; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-15-B._raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-15-B.; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	OI-01-A._raw	OI-01-B._raw	OI-03-B._raw	OI-03.se_raw	OI-07-B._raw	OI-07.SE_raw	OI-11-B._raw	OI-12-A._raw	OI-12-B._raw	OI-15-B._raw
1775	0.4	1	0.6	0.86	NA	0.35	NA	NA	NA	0.82
1776	0.3	0.7	0.6	0.72	NA	0.3	NA	NA	NA	0.68
1777	0.25	0.55	0.55	0.67	NA	0.3	NA	NA	NA	0.59
1778	0.3	0.65	0.7	0.9	NA	0.3	NA	NA	NA	0.92
1779	0.25	0.7	0.65	0.85	NA	0.3	NA	NA	NA	0.72
1780	0.25	0.85	0.7	0.95	NA	0.39	0.6	NA	NA	1.06
1781	0.3	1	0.65	0.99	NA	0.39	0.86	NA	NA	0.82
1782	0.2	0.75	0.6	0.7	NA	0.34	0.7	NA	NA	0.58
1783	0.2	0.8	0.69	0.88	NA	0.3	0.76	NA	NA	0.48
1784	0.3	0.55	0.45	0.57	NA	0.35	0.57	NA	NA	0.67
1785	0.4	0.8	0.85	1.22	NA	0.39	0.82	NA	NA	0.75
1786	0.3	0.8	0.95	1.64	NA	0.3	0.54	NA	NA	0.52
1787	0.2	0.65	0.84	1.69	NA	0.3	0.46	NA	NA	0.43
1788	0.25	0.55	0.65	1.43	NA	0.3	0.36	NA	NA	0.38
1789	0.15	0.55	0.35	0.63	NA	0.25	0.34	NA	NA	0.43
1790	0.15	0.55	0.65	0.82	0.19	0.2	0.3	NA	NA	0.38
1791	0.1	0.55	0.45	0.58	0.28	0.25	0.22	NA	NA	0.29
1792	0.25	0.65	0.55	0.63	0.37	0.3	0.22	NA	NA	0.24
1793	0.25	0.55	0.3	0.44	0.27	0.2	0.21	NA	NA	0.19
1794	0.3	0.5	0.35	0.34	0.27	0.2	0.21	NA	NA	0.24
1795	0.45	0.65	0.35	0.43	0.28	0.2	0.17	NA	NA	0.19
1796	0.65	0.75	0.55	0.63	0.36	0.25	0.3	NA	NA	0.33
1797	0.6	0.65	0.7	0.57	0.36	0.2	0.63	NA	NA	0.47
1798	0.4	0.65	0.5	0.44	0.32	0.15	0.54	NA	NA	0.38
1799	0.4	0.6	0.5	0.34	0.37	0.3	0.45	NA	NA	0.47
1800	0.25	0.45	0.4	0.29	0.24	0.15	0.37	NA	NA	0.28
1801	0.15	0.45	0.45	0.34	0.24	0.15	0.22	NA	NA	0.24
1802	0.25	0.55	0.45	0.43	0.24	0.15	0.23	NA	NA	0.34
1803	0.15	0.35	0.3	0.34	0.24	0.2	0.18	NA	NA	0.19
1804	0.2	0.4	0.25	0.24	0.24	0.2	0.23	NA	NA	0.2
1805	0.3	0.65	0.6	0.44	0.37	0.29	0.36	NA	NA	0.2
1806	0.35	0.65	0.55	0.48	0.33	0.25	0.4	NA	NA	0.2
1807	0.3	0.7	0.45	0.48	0.33	0.34	0.52	NA	NA	0.29
1808	0.3	0.75	0.7	0.53	0.39	0.39	0.4	NA	NA	0.2
1809	0.35	1	0.5	0.54	0.34	0.25	0.44	NA	NA	0.29
1810	0.35	1	0.65	0.69	0.34	0.29	0.53	NA	NA	0.29
1811	0.25	0.8	0.55	0.54	0.24	0.25	0.36	NA	NA	0.29
1812	0.4	0.9	0.65	0.59	0.29	0.35	0.45	NA	NA	0.39
1813	0.29	0.65	0.58	0.54	0.2	0.25	0.5	NA	NA	0.34
1814	0.3	0.8	0.77	0.64	0.29	0.25	0.54	NA	NA	0.34
1815	0.25	0.75	0.7	0.54	0.29	0.25	0.5	NA	NA	0.25
1816	0.2	0.55	0.45	0.55	0.2	0.25	0.38	NA	NA	0.2
1817	0.1	0.55	0.35	0.2	0.2	0.2	0.29	NA	NA	0.2
1818	0.2	0.5	0.3	0.3	0.2	0.15	0.28	NA	NA	0.2
1819	0.2	0.5	0.35	0.35	0.15	0.15	0.24	NA	NA	0.24
1820	0.25	0.6	0.4	0.4	0.19	0.2	0.24	NA	NA	0.2
1821	0.2	0.5	0.5	0.4	0.19	0.25	0.38	NA	NA	0.23
1822	0.2	0.6	0.45	0.3	0.2	0.2	0.38	NA	NA	0.23
1823	0.2	0.5	0.3	0.25	0.2	0.2	0.34	NA	NA	0.35
1824	0.25	0.6	0.4	0.2	0.2	0.2	0.38	NA	NA	0.41
1825	0.2	0.45	0.35	0.25	0.15	0.15	0.28	NA	NA	0.43
1826	0.3	0.8	0.65	0.45	0.2	0.19	0.33	NA	NA	0.46
1827	0.25	0.65	0.4	0.35	0.15	0.2	0.29	NA	NA	0.52
1828	0.1	0.55	0.45	0.3	0.15	0.15	0.29	NA	NA	0.5
1829	0.15	0.5	0.3	0.3	0.1	0.1	0.19	NA	NA	0.36
1830	0.2	0.55	0.5	0.55	0.15	0.2	0.33	NA	NA	0.6
1831	0.2	0.65	0.45	NA	0.15	0.2	0.33	NA	NA	0.35
1832	0.2	0.7	0.4	NA	0.15	0.2	0.47	NA	NA	0.54
1833	0.2	0.75	0.55	NA	0.25	0.24	0.57	NA	NA	0.55
1834	0.2	0.75	0.59	NA	0.15	0.15	0.48	NA	NA	0.5
1835	0.1	0.5	0.3	NA	0.1	0.1	0.29	NA	NA	0.35
1836	0.1	0.55	0.25	NA	0.15	0.15	0.15	NA	NA	0.35
1837	0.1	0.25	0.2	NA	0.1	0.1	0.2	NA	NA	0.35
1838	0.15	0.7	0.4	NA	0.14	0.15	0.29	NA	NA	0.55
1839	0.15	0.5	0.4	NA	0.19	0.2	0.29	NA	NA	0.45
1840	0.1	0.35	0.25	NA	0.14	0.1	0.2	0.4	0.25	0.34
1841	0.15	0.45	0.25	NA	0.19	0.2	0.2	0.55	0.6	0.45
1842	0.1	0.35	0.3	NA	0.15	0.15	0.25	0.5	0.55	0.5
1843	0.15	0.45	0.4	NA	0.2	0.25	0.29	0.6	0.55	0.68
1844	0.1	0.35	0.35	NA	0.2	0.2	0.34	0.5	0.45	0.65
1845	0.1	0.3	0.35	NA	0.15	0.15	0.29	0.45	0.45	0.42
1846	0.1	0.25	0.3	NA	0.15	0.2	0.34	0.65	0.6	0.47
1847	0.1	0.25	0.4	NA	0.2	0.2	0.39	0.7	0.75	0.33
1848	0.1	0.25	0.25	NA	0.1	0.2	0.34	0.85	0.95	0.29
1849	0.1	0.3	0.3	NA	0.15	0.2	0.39	1	1.25	0.38
1850	0.1	0.35	0.3	NA	0.15	0.2	0.39	1	1.1	0.48
1851	0.15	0.55	0.45	NA	0.2	0.2	0.39	1	1.1	0.5
1852	0.1	0.2	0.4	NA	0.2	0.3	0.44	0.8	0.8	0.73
1853	0.1	0.35	0.45	NA	0.2	0.2	0.3	0.7	0.7	0.55
1854	0.2	0.45	0.35	NA	0.15	0.25	0.25	1.05	0.95	0.53
1855	0.15	0.4	0.4	NA	0.2	0.2	0.25	0.9	0.7	0.46
1856	0.15	0.4	0.4	NA	0.15	0.25	0.3	1.3	0.9	0.54
1857	0.2	0.55	0.4	NA	0.15	0.2	0.2	1.15	1.05	0.45
1858	0.25	0.7	0.3	NA	0.25	0.3	0.34	1.2	0.85	0.64
1859	0.25	0.4	0.3	NA	0.2	0.25	0.3	0.95	0.74	0.58
1860	0.2	0.5	0.4	NA	0.24	0.25	0.39	0.95	0.84	0.54
1861	0.2	0.5	0.4	NA	0.2	0.35	0.3	1.15	0.8	0.54
1862	0.2	0.35	0.3	NA	0.26	0.25	0.34	0.85	0.55	0.47
1863	0.25	0.54	0.4	NA	0.25	0.25	0.39	1.25	1.1	0.62
1864	0.2	0.5	0.35	NA	0.18	0.25	0.34	1.1	0.8	0.58
1865	0.2	0.49	0.3	NA	0.22	0.2	0.25	1.1	0.7	0.41
1866	0.2	0.44	0.25	NA	0.14	0.15	0.25	1.05	0.75	0.36
1867	0.25	0.43	0.25	NA	0.14	0.2	0.2	0.85	0.6	0.45
1868	0.3	0.58	0.3	NA	0.18	0.25	0.3	1	0.7	0.5
1869	0.25	0.39	0.25	NA	0.18	0.2	0.34	0.7	0.6	0.42
1870	0.3	0.64	0.25	NA	0.14	0.15	0.25	0.7	0.65	0.38
1871	0.3	0.54	0.35	NA	0.19	0.25	0.3	0.8	0.7	0.58
1872	0.25	0.34	0.2	NA	0.15	0.2	0.2	0.6	0.35	0.34
1873	0.3	0.49	0.25	NA	0.2	0.2	0.25	0.9	0.65	0.39
1874	0.3	0.44	0.25	NA	0.2	0.2	0.3	0.7	0.55	0.34
1875	0.3	0.44	0.25	NA	0.3	0.2	0.25	0.8	0.7	0.39
1876	0.2	0.43	0.2	NA	0.2	0.2	0.34	0.65	0.6	0.39
1877	0.3	0.57	0.25	NA	0.25	0.2	0.29	0.6	0.65	0.38
1878	0.25	0.52	0.25	NA	0.3	0.15	0.34	0.65	0.75	0.3
1879	0.2	0.34	0.2	NA	0.23	0.15	0.29	0.5	0.5	0.26
1880	0.45	0.66	0.55	NA	0.4	0.25	0.44	1.05	1.09	0.48
1881	0.35	0.57	0.4	NA	0.25	0.25	0.44	0.65	0.69	0.41
1882	0.35	0.43	0.2	NA	0.1	0.15	0.34	0.9	0.79	0.35
1883	0.6	0.66	0.3	NA	0.25	0.2	0.44	1.2	0.94	0.5
1884	0.4	0.48	0.2	NA	0.15	0.15	0.34	0.75	0.64	0.39
1885	0.5	0.57	0.25	NA	0.25	0.25	0.39	1.2	0.89	0.47
1886	0.44	0.56	0.4	NA	0.2	0.3	0.34	0.7	0.7	0.35
1887	0.34	0.42	0.3	NA	0.2	0.2	0.24	0.75	0.6	0.27
1888	0.44	0.38	0.2	NA	0.15	0.2	0.24	0.6	0.74	0.26
1889	0.57	0.43	0.3	NA	0.24	0.2	0.29	0.7	0.84	0.24
1890	0.38	0.34	0.3	NA	0.15	0.15	0.2	0.5	0.64	0.15
1891	0.39	0.34	0.25	NA	0.15	0.2	0.29	0.55	0.75	0.21
1892	0.29	0.35	0.3	NA	0.15	0.2	0.29	0.6	0.65	0.21
1893	0.34	0.17	0.25	NA	0.25	0.2	0.24	0.55	0.6	NA
1894	0.2	0.29	0.2	NA	0.1	0.1	0.24	0.5	0.55	NA
1895	0.34	0.39	0.4	NA	0.2	0.2	0.39	0.7	0.79	NA
1896	0.29	0.35	0.3	NA	0.15	0.2	0.3	0.7	0.73	NA
1897	0.29	0.43	0.4	NA	0.2	0.15	0.29	0.9	0.64	NA
1898	0.29	0.24	0.25	NA	0.15	0.15	0.35	0.75	0.65	NA
1899	0.29	0.38	0.2	NA	0.14	0.15	0.25	0.55	0.4	NA
1900	0.15	0.29	0.15	NA	0.14	0.15	0.2	0.55	0.4	NA
1901	0.2	0.28	0.29	NA	0.15	0.15	0.25	0.65	0.5	NA
1902	0.2	0.49	0.25	NA	0.1	0.15	0.2	0.5	0.45	NA
1903	0.24	0.34	0.29	NA	0.15	0.15	0.3	0.6	0.5	NA
1904	0.29	0.48	0.4	NA	0.15	0.15	0.35	0.74	0.75	NA
1905	0.15	0.1	0.2	NA	0.1	0.1	0.2	0.5	0.45	NA
1906	0.2	0.34	0.29	NA	0.15	0.15	0.25	0.6	0.6	NA
1907	0.24	0.25	0.25	NA	0.15	0.15	0.3	0.55	0.6	NA
1908	0.25	0.24	0.29	NA	0.1	0.15	0.25	0.55	0.5	NA
1909	0.25	0.24	0.24	NA	0.2	0.1	0.25	0.6	0.45	NA
1910	0.15	0.24	0.1	NA	0.1	0.1	0.3	0.45	0.3	NA
1911	0.29	0.38	0.39	NA	0.15	0.15	0.5	0.9	0.65	NA
1912	0.3	0.29	0.34	NA	0.1	0.3	0.49	0.65	0.45	NA
1913	0.29	0.39	0.34	NA	0.15	0.1	0.44	0.5	0.35	NA
1914	0.29	0.39	0.29	NA	0.2	0.15	0.35	0.49	0.5	NA
1915	0.24	0.43	0.2	NA	0.1	0.1	0.3	0.44	0.15	NA
1916	0.24	0.49	0.25	NA	0.15	NA	0.3	0.54	0.4	NA
1917	0.29	0.44	0.3	NA	0.1	NA	0.3	0.69	0.3	NA
