# Stefanuk - Algonquin Highlands AL05 - ACSH - ITRDB CANA619
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32596
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32596.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana619-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana619-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana619.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana619.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-02-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-02-05
#--------------------
# Title
#   Study_Name: Stefanuk - Algonquin Highlands AL05 - ACSH - ITRDB CANA619
#--------------------
# Investigators
#   Investigators: Stefanuk, M.A.; Danby, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: Sample plots were circular with a radius of 75m, located within sugar maple dominated stands in protected areas within each region including Algonquin Provincial Park, Frontenac Provincial Park, Charleston Lake Provincial Park and the Queen's University Biological Station. NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Canadian Foundation for Innovation
#   Grant: 22534
#--------------------
# Site_Information
#   Site_Name: Algonquin Highlands AL05
#   Location: Canada
#   Northernmost_Latitude: 45.478414
#   Southernmost_Latitude: 45.478414
#   Easternmost_Longitude: -78.716929
#   Westernmost_Longitude: -78.716929
#   Elevation_m: 460
#--------------------
# Data_Collection
#   Collection_Name: CANA619
#   First_Year: 1869
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Acer saccharum Marsh.
#   Common_Name: sugar maple
#   Tree_Species_Code: ACSH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 041AL05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 041AL05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 044AL05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 044AL05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 044AL05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 044AL05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 040AL05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 040AL05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 041AL05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 041AL05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 045AL05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 045AL05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 045AL05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 045AL05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	041AL05B_raw	044AL05A_raw	044AL05B_raw	040AL05B_raw	041AL05A_raw	045AL05A_raw	045AL05B_raw
1954	0.762	0.929	0.856	0.648	0.71	1.389	1.493
1955	1.432	1.629	1.41	1.192	1.063	2.948	2.922
1956	0.907	1.059	0.89	0.641	0.922	1.544	1.619
1957	0.875	1.218	0.65	0.694	1.956	2.726	2.482
1958	1.403	2.034	1.071	1.039	2.145	3.106	3.419
1959	1.858	2.774	1.28	1.214	3.285	3.18	3.14
1960	1.876	2.347	1.459	0.636	2.745	3.455	2.783
1961	2.104	2.529	1.267	0.618	2.228	4.056	3.33
1962	2.288	2.617	1.239	0.722	2.496	2.853	2.326
1963	2.433	3.043	1.202	0.817	2.738	3.486	2.629
1964	2.209	2.364	1.408	0.614	2.565	2.289	1.697
1965	1.61	1.963	1.104	0.658	2.016	1.931	1.61
1966	1.926	1.909	1.131	0.58	2.127	1.599	1.727
1967	1.374	1.561	0	0.307	1.699	1.33	1.696
1968	1.849	1.399	1.297	1.044	2.148	2.037	2.746
1969	2.259	1.24	1.417	0.994	2.786	2.028	3.932
1970	2.204	1.166	1.522	1.065	3.023	3.272	4.454
1971	1.578	1.163	1.407	1.103	2.961	2.723	3.202
1972	1.175	1.382	1.237	1.132	2.579	2.475	3.347
1973	1.019	1.524	1.376	0.848	2.43	2.848	2.992
1974	0.828	1.001	1.36	0.869	1.574	2.58	2.578
1975	1.149	0.92	1.314	0.555	1.71	2.613	2.737
1976	1.419	0.556	1.042	1.003	2.198	1.454	1.524
1977	1.491	0.601	0.949	1.089	2.312	1.635	1.707
1978	1.229	0.626	1.185	0.699	2.019	2.3	2.134
1979	1.759	0.712	1.119	0.773	2.4	3.132	3.047
1980	2.144	0.938	1.35	0.702	1.86	3.704	3.036
1981	2.12	1.104	1.826	0.704	1.879	4.455	2.127
1982	1.943	1.081	1.23	0.723	2.297	3.931	2.84
1983	2.152	0.92	0.858	0.736	2.276	2.689	1.845
1984	1.655	0.7	0.657	0.408	1.387	1.811	1.488
1985	2.456	1.363	0.959	0.884	2.073	1.557	1.344
1986	3.392	1.02	0.802	0.607	2.192	2.991	1.83
1987	2.777	1.382	0.674	0.817	2.192	3.949	2.203
1988	1.776	1.172	0.329	0.38	1.313	1.31	0.789
1989	1.351	0.873	0.318	0.422	0.936	1.18	0.52
1990	1.73	0.908	0.465	0.526	1.191	1.93	0.798
1991	2.055	1.409	0.653	0.448	1.084	2.237	0.887
1992	2.469	1.427	0.277	0.938	1.522	2.158	1.195
1993	2.723	1.829	0.514	1.305	1.853	4.19	1.353
1994	2.454	1.149	0.839	2.156	1.894	3.032	1.956
1995	3.486	3.306	1.075	3.168	2.598	6.168	3.708
1996	2.602	1.871	0.56	2.914	1.936	3.864	1.825
1997	1.575	1.761	0.857	3.423	2.294	3.375	1.496
1998	1.54	1.325	0.57	2.774	1.655	2.811	1.294
1999	2.855	1.082	0.508	2.242	2.268	3.205	1.793
2000	2.296	1.153	0.344	1.96	2.629	3.257	1.309
2001	1.86	1.137	0.519	1.693	3.345	3.816	2.014
2002	1.493	0.955	0.404	1.316	2.869	3.777	1.069
2003	1.053	0.444	0.327	0.922	3.869	4.366	1.72
2004	1.472	0.914	0.448	1.603	3.83	4.531	1.517
2005	1.65	1.154	0.374	1.262	4.209	4.381	1.25
2006	0.827	0.45	0.138	0.737	2.549	1.98	0.526
2007	0.896	0.117	0.019	0	2.436	2.913	0.454
2008	1.732	0.377	0.135	0.516	2.754	3.455	0.599
2009	1.602	0.324	0.123	0.404	2.634	2.925	0.496
2010	1.663	0.409	0.316	0.638	1.705	2.864	0
2011	2.003	0.733	0.301	0.935	2.28	3.171	0.672
2012	1.448	1.184	0.348	0.848	2.131	2.365	0.678
2013	1.341	0.772	0.079	0.515	2.859	1.052	0.055
2014	1.748	0	0.218	0.379	1.923	1.524	0.15
2015	2.314	0	0.148	0	0	2.452	0.307
2016	2.718	1.04	0.083	1.167	3.214	3.173	0.585
2017	2.571	1.121	0.219	1.364	1.989	2.709	0.117
