# St. George - Munsen Park - QUMA - ITRDB CANA184
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4796
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4796.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana184-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana184-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana184.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana184.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-08-25
#--------------------
# File_Last_Modified_Date
#   Date: 2005-08-25
#--------------------
# Title
#   Study_Name: St. George - Munsen Park - QUMA - ITRDB CANA184
#--------------------
# Investigators
#   Investigators: St. George, S.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Munsen Park
#   Location: Manitoba
#   Northernmost_Latitude: 49.87
#   Southernmost_Latitude: 49.87
#   Easternmost_Longitude: -97.17
#   Westernmost_Longitude: -97.17
#   Elevation_m: 230
#--------------------
# Data_Collection
#   Collection_Name: CANA184
#   First_Year: 1860
#   Last_Year: 1999
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrocarpa Michx.
#   Common_Name: burr oak
#   Tree_Species_Code: QUMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## u0001a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0001a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## u0002a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0002a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## u0003a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0003a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## u0004a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0004a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## u0005a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0005a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## u0006a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0006a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## u0007a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0007a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## u0008a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0008a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## u0009a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0009a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	u0001a_raw	u0002a_raw	u0003a_raw	u0004a_raw	u0005a_raw	u0006a_raw	u0007a_raw	u0008a_raw	u0009a_raw
1927	1.569	2.561	0.644	1.086	0.769	1.685	1.067	1.887	1.762
1928	1.091	2.994	0.498	1.352	0.813	2.133	1.322	1.432	1.238
1929	1.566	1.95	0.506	0.763	0.788	1.274	1.224	1.66	1.205
1930	1.449	1.986	0.469	0.772	0.934	1.937	1.236	1.912	1.184
1931	1.119	2.083	0.407	0.597	0.694	1.276	1.11	1.901	1.164
1932	0.951	1.337	0.368	0.7	0.853	1.304	1.13	1.269	1.147
1933	1.514	1.964	0.438	1.022	0.811	1.551	1.13	1.625	1.184
1934	1.027	1.945	0.565	1.101	0.842	1.966	1.22	1.632	1.289
1935	1.395	2.81	0.417	1.64	1.004	1.932	1.963	2.117	1.319
1936	1.244	1.831	0.266	1.34	0.594	1.591	1.382	1.52	0.79
1937	1.252	2.065	0.51	1.054	0.817	1.446	1.188	1.442	1.069
1938	1.1	2.054	0.482	0.884	0.634	1.312	1.432	1.192	0.898
1939	1.423	2.395	0.411	1.163	0.881	1.751	1.313	1.337	1.141
1940	1.377	2.51	0.43	1.524	0.861	1.953	1.701	1.231	0.99
1941	1.662	2.516	0.901	1.142	1.058	1.575	1.934	1.639	1.419
1942	1.559	2.08	0.65	1.356	1.214	1.756	1.871	1.68	1.479
1943	1.477	1.973	0.482	0.886	0.862	1.274	1.822	1.628	1.048
1944	1.673	2.037	0.486	0.993	0.916	1.003	1.433	1.121	0.949
1945	1.138	1.779	0.755	0.996	0.882	1.416	1.311	1.352	1.298
1946	1.128	1.642	0.472	0.955	0.55	0.906	1.177	1.08	0.848
1947	1.41	1.699	NA	0.916	0.916	1.201	1.592	1.402	1.386
1948	1.277	1.951	NA	0.875	0.758	1.117	1.388	1.121	0.998
1949	1.104	2.24	NA	0.887	1.106	1.242	1.583	1.61	1.216
1950	1.241	2.158	NA	1.018	0.971	1.441	2.099	1.328	1.421
1951	0.856	1.817	NA	0.75	0.763	1.007	1.697	1.289	1.209
1952	1.16	2.019	NA	1.237	1.058	0.957	2.145	1.059	1.026
1953	2.014	2.699	NA	1.677	1.621	1.384	2.494	1.576	1.104
1954	1.292	2.227	NA	1.68	1.144	1.458	2.238	1.365	1.15
1955	1.089	2.301	NA	1.701	1.195	1.624	2.259	1.458	1.127
1956	1.061	2.096	NA	1.065	1.008	1.848	1.794	1.154	0.958
1957	1.423	2.757	NA	1.655	1.414	2.042	2.154	1.721	1.449
1958	0.964	1.973	NA	1.063	1.043	1.17	1.669	1.419	1.063
1959	0.939	1.261	NA	1.014	1.387	1.52	1.69	1.662	1.136
1960	0.949	1.373	NA	1.021	0.861	1.162	1.156	1.478	0.87
1961	1.057	1.252	NA	0.727	0.884	0.886	1.289	1.748	0.934
1962	1.233	2.395	NA	1.3	1.254	1.314	2.238	2.063	1.139
1963	1.276	1.677	NA	0.805	0.993	0.843	1.771	1.742	0.923
1964	1.139	1.141	NA	0.503	0.739	0.746	1.018	1.152	0.464
1965	1.33	1.458	NA	0.773	1.093	0.972	1.804	1.573	0.526
1966	1.254	1.817	NA	0.74	0.866	0.916	1.615	1.486	0.57
1967	1.043	1.518	NA	0.821	0.942	1.138	1.438	1.881	0.531
1968	1.425	2.337	NA	1.305	1.531	1.454	2.268	1.652	0.595
1969	1.21	1.806	NA	1.38	1.191	1.53	1.718	1.496	0.548
1970	1.283	1.691	NA	1.175	1.181	0.934	1.765	1.608	0.49
1971	1.468	1.397	NA	0.666	1.186	1.095	1.61	1.346	0.463
1972	1.063	1.121	NA	0.68	0.733	0.825	0.947	0.994	0.486
1973	1.289	1.958	NA	1.354	1.286	1.38	2.178	1.492	0.639
1974	1.115	1.8	NA	0.985	0.875	1.08	1.85	1.121	0.551
1975	1.367	2.507	NA	1.537	1.687	1.224	1.807	1.401	0.526
1976	1.242	1.556	NA	0.979	1.273	1.356	1.677	1.054	0.55
1977	1.305	1.685	NA	1.34	1.273	1.49	1.408	0.96	0.473
1978	1.552	1.915	NA	1.261	1.416	1.506	1.506	0.977	0.526
1979	1.188	1.25	NA	0.798	1.078	1.1	1.39	0.94	0.44
1980	0.683	0.933	NA	0.551	0.813	0.688	1.111	0.69	0.423
1981	1.04	1.33	NA	1.283	1.391	1.22	2.054	1.344	0.669
1982	0.776	1.587	NA	1.293	1.086	0.756	2.205	1.478	0.704
1983	0.876	1.572	NA	1.407	1.206	1.104	1.979	1.473	0.735
1984	0.621	0.892	NA	0.72	0.817	0.625	1.432	0.781	0.434
1985	0.509	0.583	NA	0.752	0.574	0.776	1.75	0.914	0.513
1986	0.668	0.639	NA	1.111	0.876	1.005	2.506	1.687	1.05
1987	1.017	0.569	NA	0.802	0.942	0.992	2.009	1.366	0.96
1988	0.785	0.727	NA	0.759	0.904	0.809	1.917	1.219	0.893
1989	1.055	1.014	NA	1.172	1.295	0.953	2.057	1.869	1.153
1990	1.037	1.011	NA	1.395	1.05	0.834	2.432	1.552	0.723
1991	0.812	0.77	NA	0.772	0.926	0.712	2.46	1.005	0.673
1992	0.947	0.971	NA	0.761	0.75	0.685	1.925	1.296	0.869
1993	1.311	1.632	NA	1.578	1.631	1.182	3.205	2.227	1.108
1994	1.343	1.74	NA	1.326	0.911	0.78	2.82	2.044	0.981
1995	1.436	1.553	NA	0.876	0.937	0.661	2.33	1.551	0.997
1996	1.651	1.493	NA	0.817	1.193	0.922	1.914	1.486	1.032
1997	1.268	1.276	NA	0.921	1.233	0.955	2	1.604	1.208
1998	1.141	1.807	NA	1.375	1.481	1.367	2.537	1.809	1.225
1999	1.25	1.789	NA	1.501	1.546	1.67	3.083	1.375	1.154
