# Kyncl - Capilano Watershed Vancouver - ABAM - ITRDB CANA108
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3821
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3821.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana108-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana108-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana108.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana108.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Kyncl - Capilano Watershed Vancouver - ABAM - ITRDB CANA108
#--------------------
# Investigators
#   Investigators: Kyncl, J.; Dobry, J.; Klinka, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Capilano Watershed Vancouver
#   Location: British Columbia
#   Northernmost_Latitude: 49.52
#   Southernmost_Latitude: 49.52
#   Easternmost_Longitude: -123.07
#   Westernmost_Longitude: -123.07
#   Elevation_m: 1000
#--------------------
# Data_Collection
#   Collection_Name: CANA108
#   First_Year: 1754
#   Last_Year: 1991
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies amabilis Douglas ex J. Forbes
#   Common_Name: Pacific silver fir
#   Tree_Species_Code: ABAM
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CA2012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA2012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA2021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA2021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA2052_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA2052; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA2071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA2071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA2121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA2121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA2161_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA2161; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA2171_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA2171; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CA2012_raw	CA2021_raw	CA2052_raw	CA2071_raw	CA2121_raw	CA2161_raw	CA2171_raw
1834	0.72	0.67	0.82	0.72	0.75	0.75	0.85
1835	0.78	0.64	0.79	0.75	0.72	0.7	0.77
1836	0.79	0.63	0.82	0.76	0.8	0.78	0.88
1837	0.7	0.6	0.79	0.67	0.74	0.68	0.64
1838	0.63	0.59	0.74	0.65	0.75	0.64	0.63
1839	0.63	0.58	0.79	0.7	0.8	0.68	0.67
1840	0.7	0.61	0.76	0.69	0.73	0.67	0.79
1841	0.65	0.64	0.78	0.73	0.72	0.71	0.78
1842	0.57	0.6	0.73	0.65	0.78	0.69	0.82
1843	0.67	0.68	0.81	0.72	0.77	0.79	0.87
1844	0.64	0.66	0.78	0.67	0.75	0.66	0.8
1845	0.64	0.62	0.72	0.66	0.81	0.64	0.76
1846	0.66	0.65	0.73	0.69	0.73	0.66	0.79
1847	0.63	0.81	0.8	0.72	0.77	0.77	0.9
1848	0.48	0.63	0.72	0.68	0.7	0.6	0.72
1849	0.71	0.73	0.7	0.75	0.77	0.61	0.79
1850	0.7	0.7	0.76	0.73	0.75	0.73	0.82
1851	0.7	0.76	0.8	0.73	0.79	0.66	0.74
1852	0.73	0.72	0.81	0.77	0.84	0.65	0.73
1853	0.62	0.76	0.87	0.87	0.77	0.58	0.72
1854	0.71	0.73	0.87	0.8	0.79	0.6	0.74
1855	0.68	0.78	0.85	0.79	0.78	0.64	0.75
1856	0.66	0.79	0.86	0.73	0.8	0.68	0.78
1857	0.59	0.78	0.91	0.76	0.78	0.7	0.76
1858	0.66	0.77	0.89	0.76	0.79	0.63	0.79
1859	0.68	0.76	0.63	0.69	0.79	0.67	0.74
1860	0.49	0.82	0.8	0.69	0.76	0.67	0.7
1861	0.53	0.72	0.79	0.67	0.63	0.66	0.6
1862	0.55	0.78	0.77	0.65	0.76	0.61	0.63
1863	0.48	0.73	0.78	0.67	0.77	0.63	0.63
1864	0.61	0.81	0.79	0.63	0.81	0.63	0.78
1865	0.52	0.56	0.66	0.62	0.68	0.64	0.57
1866	0.56	0.8	0.84	0.71	0.85	0.62	0.67
1867	0.55	0.79	0.81	0.69	0.82	0.63	0.58
1868	0.77	0.85	0.9	0.7	0.79	0.78	0.71
1869	0.74	0.77	0.87	0.7	0.76	0.68	0.64
1870	0.59	0.73	0.88	0.69	0.69	0.68	0.53
1871	0.71	0.67	0.78	0.67	0.73	0.71	0.56
1872	0.52	0.63	0.79	0.68	0.75	0.55	0.45
1873	0.58	0.63	0.88	0.74	0.77	0.73	0.47
1874	0.61	0.67	0.84	0.69	0.77	0.72	0.45
1875	0.75	0.66	0.82	0.71	0.75	0.65	0.61
1876	0.67	0.58	0.78	0.66	0.68	0.57	0.58
1877	0.77	0.64	0.89	0.71	0.72	0.64	0.67
1878	0.74	0.63	0.9	0.75	0.79	0.62	0.74
1879	0.63	0.71	0.8	0.76	0.84	0.76	0.73
1880	0.63	0.64	0.82	0.67	0.64	0.67	0.6
1881	0.58	0.72	0.87	0.82	0.73	0.73	0.72
1882	0.65	0.68	0.84	0.78	0.75	0.68	0.73
1883	0.7	0.73	0.93	0.79	0.75	0.8	0.74
1884	0.66	0.7	0.86	0.8	0.75	0.78	0.66
1885	0.65	0.76	0.87	0.9	0.8	0.83	0.75
1886	0.61	0.69	0.82	0.83	0.72	0.68	0.64
1887	0.6	0.63	0.78	0.82	0.7	0.68	0.69
1888	0.63	0.74	0.81	0.84	0.7	0.73	0.75
1889	0.62	0.72	0.81	0.84	0.75	0.65	0.75
1890	0.58	0.65	0.81	0.8	0.74	0.64	0.77
1891	0.63	0.64	0.81	0.77	0.72	0.7	0.75
1892	0.65	0.64	0.86	0.81	0.76	0.67	0.74
1893	0.45	0.45	0.64	0.59	0.67	0.64	0.68
1894	0.54	0.46	0.76	0.76	0.67	0.67	0.65
1895	0.63	0.63	0.75	0.71	0.66	0.67	0.64
1896	0.7	0.7	0.89	0.8	0.76	0.72	0.76
1897	0.64	0.38	0.86	0.75	0.7	0.65	0.72
1898	0.74	0.79	0.79	0.84	0.79	0.64	0.79
1899	0.66	0.66	0.75	0.79	0.74	0.55	0.71
1900	0.65	0.82	0.86	0.87	0.78	0.67	0.79
1901	0.66	0.74	0.8	0.8	0.75	0.67	0.79
1902	0.7	0.77	0.8	0.77	0.65	0.64	0.7
1903	0.63	0.67	0.7	0.8	0.69	0.56	0.7
1904	0.72	0.77	0.81	0.85	0.74	0.63	0.73
1905	0.73	0.77	0.78	0.78	0.68	0.63	0.65
1906	0.78	0.76	0.83	0.81	0.77	0.67	0.63
1907	0.72	0.71	0.75	0.84	0.72	0.63	0.69
1908	0.7	0.72	0.68	0.78	0.67	0.64	0.55
1909	0.71	0.62	0.78	0.82	0.68	0.62	0.6
1910	0.76	0.77	0.81	0.86	0.68	0.7	0.55
1911	0.67	0.63	0.74	0.75	0.75	0.55	0.48
1912	0.73	0.74	0.77	0.81	0.74	0.68	0.48
1913	0.72	0.68	0.75	0.82	0.76	0.62	0.45
1914	0.7	0.74	0.76	0.8	0.82	0.7	0.54
1915	0.64	0.76	0.78	0.87	0.85	0.63	0.78
1916	0.72	0.71	0.79	0.86	0.77	0.71	0.7
1917	0.66	0.61	0.76	0.8	0.82	0.67	0.68
1918	0.68	0.64	0.85	0.87	0.78	0.68	0.7
1919	0.71	0.69	0.78	0.83	0.8	0.75	0.77
1920	0.62	0.63	0.79	0.78	0.8	0.68	0.7
1921	0.68	0.47	0.82	0.81	0.74	0.73	0.71
1922	0.7	0.63	0.79	0.8	0.75	0.64	0.71
1923	0.76	0.72	0.78	0.8	0.79	0.68	0.7
1924	0.79	0.69	0.86	0.87	0.76	0.65	0.69
1925	0.74	0.65	0.87	0.85	0.8	0.67	0.62
1926	0.78	0.7	0.86	0.83	0.75	0.7	0.69
1927	0.72	0.69	0.87	0.8	0.76	0.71	0.71
1928	0.78	0.8	0.9	0.86	0.78	0.73	0.78
1929	0.71	0.73	0.86	0.81	0.7	0.65	0.78
1930	0.75	0.74	0.87	0.86	0.75	0.66	0.76
1931	0.75	0.75	0.82	0.83	0.79	0.61	0.74
1932	0.73	0.47	0.83	0.84	0.79	0.61	0.62
1933	0.62	0.62	0.74	0.76	0.67	0.6	0.68
1934	0.77	0.75	0.87	0.89	0.83	0.77	0.75
1935	0.71	0.7	0.87	0.82	0.72	0.65	0.71
1936	0.77	0.72	0.86	0.81	0.77	0.78	0.79
1937	0.73	0.68	0.84	0.83	0.73	0.67	0.73
1938	0.75	0.72	0.88	0.8	0.76	0.78	0.76
1939	0.79	0.55	0.73	0.81	0.8	0.73	0.79
1940	0.7	0.68	0.77	0.8	0.82	0.74	0.72
1941	0.71	0.63	0.79	0.85	0.67	0.62	0.68
1942	0.72	0.76	0.82	0.86	0.81	0.58	0.72
1943	0.77	0.71	0.81	0.75	0.72	0.66	0.71
1944	0.75	0.67	0.86	0.77	0.77	0.63	0.68
1945	0.7	0.63	0.87	0.72	0.75	0.63	0.69
1946	0.72	0.75	0.81	0.82	0.79	0.67	0.72
1947	0.76	0.7	0.82	0.83	0.76	0.71	0.75
1948	0.65	0.57	0.78	0.88	0.71	0.6	0.7
1949	0.72	0.78	0.82	0.82	0.78	0.65	0.78
1950	0.76	0.74	0.91	0.82	0.76	0.7	0.74
1951	0.71	0.74	0.87	0.88	0.81	0.62	0.75
1952	0.7	0.76	0.95	0.86	0.82	0.63	0.75
1953	0.69	0.66	0.82	0.85	0.75	0.63	0.65
1954	0.72	0.56	0.8	0.82	0.71	0.6	0.65
1955	0.5	0.63	0.6	0.77	0.64	0.63	0.61
1956	0.71	0.67	0.79	0.85	0.67	0.71	0.79
1957	0.72	0.68	0.8	0.82	0.63	0.64	0.71
1958	0.65	0.67	0.77	0.81	0.7	0.75	0.68
1959	0.51	0.5	0.7	0.71	0.72	0.57	0.63
1960	0.66	0.68	0.77	0.79	0.86	0.67	0.67
1961	0.53	0.72	0.69	0.78	0.77	0.69	0.72
1962	0.41	0.75	0.58	0.81	0.71	0.64	0.72
1963	0.49	0.78	0.78	0.78	0.78	0.75	0.78
1964	0.5	0.7	0.66	0.75	0.7	0.55	0.65
1965	0.61	0.76	0.71	0.78	0.73	0.69	0.74
1966	0.53	0.74	0.62	0.76	0.71	0.61	0.76
1967	0.62	0.76	0.68	0.79	0.74	0.83	0.85
1968	0.54	0.72	0.49	0.78	0.75	0.66	0.75
1969	0.46	0.64	0.49	0.73	0.68	0.6	0.63
1970	0.51	0.71	0.51	0.76	0.71	0.59	0.72
1971	0.5	0.67	0.52	0.76	0.7	0.65	0.71
1972	0.54	0.64	0.53	0.73	0.71	0.7	0.75
1973	0.51	0.72	0.57	0.7	0.67	0.71	0.77
1974	0.58	0.67	0.49	0.66	0.6	0.7	0.78
1975	0.61	0.7	0.61	0.76	0.62	0.63	0.67
1976	0.55	0.62	0.53	0.79	0.6	0.58	0.61
1977	0.65	0.72	0.65	0.76	0.62	0.76	0.7
1978	0.63	0.7	0.7	0.78	0.78	0.65	0.65
1979	0.65	0.77	0.71	0.8	0.82	0.77	0.79
1980	0.71	0.76	0.72	0.79	0.7	0.64	0.76
1981	0.72	0.63	0.78	0.71	0.76	0.61	0.7
1982	0.59	0.7	0.75	0.76	0.49	0.48	0.67
1983	0.71	0.76	0.83	0.76	0.77	0.56	0.79
1984	0.68	0.66	0.8	0.66	0.74	0.57	0.7
1985	0.71	0.65	0.78	0.74	0.78	0.56	0.65
1986	0.83	0.77	0.82	0.76	0.74	0.54	0.78
1987	0.73	0.72	0.7	0.78	0.78	0.58	0.72
1988	0.72	0.63	0.63	0.76	0.8	0.55	0.65
1989	0.77	0.64	0.7	0.77	0.71	0.53	0.79
1990	0.76	0.65	0.82	0.76	0.88	0.54	0.73
1991	0.78	0.6	0.67	0.79	0.64	0.46	0.77
