# Ahmed - Mt. William - AGAU - ITRDB NEWZ090
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/8488
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-8488.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: PAGES 2k Network, PAGES Australasia 2k
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/newz090-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; newz090-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/newz090.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/newz090.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-02-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-02-10
#--------------------
# Title
#   Study_Name: Ahmed - Mt. William - AGAU - ITRDB NEWZ090
#--------------------
# Investigators
#   Investigators: Ahmed, M.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-01.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Mt. William
#   Location: New Zealand
#   Northernmost_Latitude: -37.22
#   Southernmost_Latitude: -37.22
#   Easternmost_Longitude: 175.03
#   Westernmost_Longitude: 175.03
#   Elevation_m: 375
#--------------------
# Data_Collection
#   Collection_Name: NEWZ090
#   First_Year: 1580
#   Last_Year: 1981
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Agathis australis (D. Don) Loudon
#   Common_Name: kauri pine
#   Tree_Species_Code: AGAU
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## MWL0511_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0511; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0513_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0513; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0521_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0521; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0522_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0522; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0523_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0523; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0571_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0571; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0572_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0572; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0631_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0631; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0691_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0691; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0692_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0692; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0701_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0701; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	MWL0511_raw	MWL0513_raw	MWL0521_raw	MWL0522_raw	MWL0523_raw	MWL0571_raw	MWL0572_raw	MWL0631_raw	MWL0691_raw	MWL0692_raw	MWL0701_raw
1651	NA	NA	1.09	NA	NA	NA	NA	NA	1.41	1.18	NA
1652	NA	NA	1.96	NA	NA	NA	NA	NA	0.98	1.96	NA
1653	NA	NA	1.58	NA	NA	NA	NA	NA	0.91	1.58	NA
1654	NA	NA	1.5	NA	NA	NA	NA	NA	0.72	1.28	NA
1655	NA	NA	1.53	NA	NA	NA	NA	NA	1.12	1.53	NA
1656	NA	NA	1.5	NA	NA	NA	NA	NA	1.03	1.38	NA
1657	NA	NA	2.81	NA	NA	NA	NA	NA	1.14	2.46	NA
1658	NA	NA	1.86	NA	NA	NA	NA	NA	0.9	1.41	NA
1659	NA	NA	2.01	NA	NA	NA	NA	NA	1.12	1.86	NA
1660	NA	NA	1.32	NA	NA	NA	NA	NA	0.9	1.27	NA
1661	NA	NA	1.77	NA	NA	NA	NA	NA	0.95	1.91	NA
1662	NA	NA	1.14	NA	NA	NA	NA	NA	0.68	1.2	NA
1663	NA	NA	1.14	NA	NA	NA	NA	NA	0.76	1.05	NA
1664	NA	NA	1.23	NA	NA	NA	NA	NA	0.9	1.39	NA
1665	NA	NA	1.01	NA	NA	NA	NA	NA	0.74	1.1	NA
1666	NA	NA	2.25	NA	NA	NA	NA	NA	0.93	2.46	NA
1667	NA	NA	1.88	NA	NA	NA	NA	NA	1.14	2.23	NA
1668	NA	NA	2.17	NA	NA	NA	NA	NA	0.91	2.19	NA
1669	NA	NA	2.46	NA	NA	NA	NA	NA	1.17	2.54	NA
1670	NA	NA	2.01	NA	1.27	NA	NA	NA	1.24	1.83	NA
1671	NA	NA	2.39	NA	1.48	NA	NA	NA	1.46	2.49	NA
1672	NA	NA	2.07	NA	0.95	NA	NA	NA	0.9	1.67	NA
1673	NA	NA	2.05	NA	1.45	NA	NA	NA	1.15	2.12	NA
1674	NA	NA	1.52	NA	2.04	NA	NA	NA	1.48	1.67	NA
1675	NA	NA	1.19	NA	1.45	NA	NA	NA	1.36	1.23	NA
1676	NA	NA	1.65	NA	1.13	NA	NA	NA	1.15	1.84	NA
1677	NA	NA	1.09	NA	0.83	NA	NA	NA	0.87	1.02	NA
1678	NA	NA	0.85	NA	0.9	NA	NA	NA	0.94	0.84	NA
1679	NA	NA	1.26	NA	1.44	NA	NA	NA	1.52	1.28	NA
1680	NA	NA	1.23	NA	1.58	NA	NA	NA	1.27	1.13	NA
1681	NA	NA	1.31	NA	1.6	NA	NA	NA	1.82	1.33	NA
1682	NA	NA	1.15	NA	1.12	NA	NA	NA	1.34	1.15	NA
1683	NA	NA	1.43	NA	1.52	NA	NA	NA	1.52	1.8	NA
1684	NA	NA	1.27	NA	1	NA	NA	NA	1.48	1.11	NA
1685	NA	NA	1.89	NA	1.78	NA	NA	NA	1.44	2.18	NA
1686	NA	NA	1.86	NA	2.16	NA	NA	NA	1.47	2.28	NA
1687	NA	NA	2.48	NA	2.24	NA	NA	NA	1.43	2.49	NA
1688	NA	NA	2.03	NA	1.41	NA	NA	NA	1	2.05	NA
1689	NA	NA	1.95	NA	1.47	NA	NA	NA	0.96	1.85	NA
1690	NA	NA	1.8	NA	1.01	NA	NA	NA	0.69	1.65	NA
1691	NA	NA	2.08	NA	0.85	NA	NA	NA	0.52	1.95	NA
1692	NA	NA	1.66	NA	0.99	NA	NA	NA	0.85	1.61	NA
1693	NA	NA	1.98	NA	1.5	NA	NA	NA	1.27	1.65	NA
1694	NA	NA	1.96	NA	1.91	NA	NA	NA	1.56	1.83	NA
1695	NA	NA	1.88	NA	1.78	NA	NA	NA	1.78	1.71	NA
1696	NA	NA	1.16	NA	0.98	NA	NA	NA	1.12	1.09	NA
1697	NA	NA	1.86	NA	1.19	NA	NA	NA	1.58	1.67	NA
1698	NA	NA	1.45	NA	0.87	NA	NA	NA	1.17	1.38	NA
1699	NA	NA	1.45	NA	0.66	NA	NA	NA	1.4	0.86	NA
1700	NA	NA	1.35	NA	1.01	NA	NA	NA	1.71	1.82	NA
1701	NA	NA	1.41	NA	1.19	NA	NA	NA	2.22	1.44	NA
1702	NA	NA	1.11	NA	1.09	NA	NA	NA	1.49	1.05	NA
1703	NA	NA	1.71	NA	1.62	NA	NA	NA	2.21	2.13	NA
1704	NA	NA	1.4	NA	1.01	NA	NA	NA	1.53	1.86	NA
1705	NA	NA	0.99	NA	0.84	NA	NA	NA	1	0.96	NA
1706	NA	NA	0.93	NA	0.77	NA	NA	NA	0.99	1.35	NA
1707	NA	NA	0.85	NA	0.63	NA	NA	NA	0.71	0.99	NA
1708	NA	NA	0.92	NA	0.58	NA	NA	NA	0.73	1.07	NA
1709	NA	NA	0.85	NA	0.37	NA	NA	NA	0.46	1.23	NA
1710	NA	NA	0.89	NA	0.54	NA	NA	NA	0.59	1.05	NA
1711	NA	NA	0.91	NA	0.44	NA	NA	NA	0.57	2.16	NA
1712	NA	NA	3.88	NA	0.66	NA	NA	NA	0.6	3.51	NA
1713	NA	NA	3.01	NA	0.94	NA	NA	NA	0.96	2.28	NA
1714	NA	NA	3.56	NA	2.14	NA	NA	NA	1.64	2.64	NA
1715	NA	NA	3.58	NA	3.66	NA	NA	NA	2.65	3.01	NA
1716	NA	NA	2.09	NA	3.09	NA	NA	NA	2.27	2.07	NA
1717	NA	NA	2.47	NA	3.18	NA	NA	NA	2.49	2.59	NA
1718	NA	NA	1.48	NA	2.87	NA	NA	NA	2.3	1.67	NA
1719	NA	NA	1.64	NA	2.29	NA	NA	NA	2.2	1.6	NA
1720	NA	NA	1.84	NA	1.89	NA	NA	NA	2.03	1.92	NA
1721	NA	NA	1.14	NA	1.5	NA	NA	NA	2.3	1.15	NA
1722	NA	NA	1.1	NA	1.23	NA	NA	NA	1.68	0.98	NA
1723	NA	NA	1.22	NA	1.83	NA	NA	NA	2.24	1.16	NA
1724	NA	NA	0.7	NA	1.24	NA	NA	NA	1.67	0.69	NA
1725	NA	NA	0.94	NA	1.44	NA	NA	NA	1.91	0.93	NA
1726	NA	NA	1.48	NA	1.49	NA	NA	NA	1.58	1.53	NA
1727	NA	NA	1.4	NA	1.6	NA	NA	NA	1.76	1.46	NA
1728	NA	NA	1.37	NA	1.87	NA	NA	NA	1.6	1.36	NA
1729	NA	NA	1.44	NA	2.56	NA	NA	NA	2.25	1.58	NA
1730	NA	NA	1.25	NA	2.09	NA	NA	NA	1.72	1.16	NA
1731	NA	NA	1.17	NA	1.58	NA	NA	NA	1.11	1.1	NA
1732	NA	NA	1	NA	1.19	NA	NA	NA	0.76	0.97	NA
1733	NA	NA	2.09	NA	2.53	NA	NA	NA	1.78	1.69	NA
1734	NA	NA	1.51	NA	2.95	NA	NA	NA	2.75	1.33	NA
1735	NA	NA	2.82	NA	2.59	NA	NA	NA	2.87	2.79	NA
1736	NA	NA	2.1	NA	2.41	NA	NA	NA	2.65	2.42	NA
1737	NA	NA	1.76	NA	2.26	NA	NA	NA	2.46	1.84	NA
1738	NA	NA	1.36	NA	1.72	NA	NA	NA	1.66	1.3	NA
1739	NA	NA	1.33	NA	1.86	NA	NA	NA	1.26	1.34	NA
1740	NA	NA	1.45	1.66	1.13	NA	NA	NA	0.81	1.34	1.08
1741	NA	NA	1.1	2.81	0.95	NA	NA	NA	0.85	1.1	0.98
1742	NA	NA	2.09	2.79	0.84	NA	NA	NA	0.76	2.27	1.1
1743	NA	NA	1.62	2.32	0.9	NA	NA	NA	0.71	1.86	0.74
1744	NA	NA	1.89	2.22	1.37	NA	NA	NA	1.23	2.11	0.99
1745	NA	NA	2.05	1.81	0.88	NA	NA	NA	0.79	2.16	0.86
1746	NA	NA	2.57	2.4	1.61	NA	NA	NA	1.61	2.73	0.72
1747	NA	NA	2.18	1.91	1.41	NA	NA	NA	1.51	2.18	1.08
1748	NA	NA	1.86	2	1.35	NA	NA	NA	1.32	1.8	0.17
1749	NA	NA	1.93	1.56	1.49	NA	NA	NA	1.77	1.6	0.9
1750	NA	NA	1.36	1.09	0.92	NA	NA	NA	1.19	0.95	0.93
1751	NA	NA	1.65	1.73	1.34	NA	NA	NA	1.37	1.45	1.04
1752	NA	NA	1.36	1.16	0.84	NA	NA	NA	0.95	1.08	1.05
1753	NA	NA	1.43	1.54	1.11	NA	NA	NA	1.17	1.17	1.75
1754	NA	NA	0.58	0.82	0.59	0.77	NA	NA	0.4	0.49	0.98
1755	NA	NA	1.06	1.38	0.84	1.17	NA	NA	0.81	0.98	1.25
1756	NA	NA	1.11	1.21	0.91	1.25	NA	NA	0.88	0.79	1.59
1757	NA	NA	1.04	0.98	0.96	0.7	NA	NA	1.39	0.95	0.94
1758	NA	NA	1.55	2.21	1.68	1.24	NA	NA	1.72	1.27	1.47
1759	NA	NA	1.35	1.95	2.02	1.11	NA	NA	2.12	0.99	1.42
1760	NA	NA	0.97	1.42	1.67	0.81	NA	1.42	1.5	0.85	0.86
1761	NA	NA	1.04	2.09	1.61	0.81	NA	0.73	1.63	0.97	1.13
1762	NA	NA	0.88	1.95	1.68	0.74	NA	0.99	1.42	0.71	0.81
1763	NA	NA	0.95	1.7	1.37	0.37	NA	3.05	1.32	0.95	0.57
1764	NA	NA	0.86	1.44	1.06	0.63	NA	2.41	0.93	0.74	0.76
1765	NA	NA	0.82	1.44	1.04	0.94	NA	2.58	0.8	0.66	0.84
1766	NA	NA	0.72	1.49	1.07	0.77	NA	2.42	0.94	0.81	0.74
1767	NA	NA	0.42	0.95	0.79	0	NA	3.96	0.61	0.41	0.2
1768	NA	NA	0.9	2.04	1.58	0.91	NA	2.69	1.04	0.82	0.97
1769	NA	NA	0.7	2.48	1.1	1	NA	2.98	0.85	0.71	0.98
1770	NA	NA	0.58	1.6	0.69	0.74	NA	1.46	0.67	0.57	0.55
1771	NA	NA	0.58	1.41	0.88	0	NA	2.17	0.65	0.41	0.54
1772	NA	NA	0.55	1.63	0.53	0.71	NA	1.62	0.59	0.51	0.66
1773	NA	NA	0.59	1.85	0.59	0.81	NA	1.65	0.61	0.63	0.71
1774	NA	NA	0.58	1.75	0.49	1.04	NA	1.73	0.56	0.56	0.72
1775	NA	NA	0.59	2.64	0.69	0.71	NA	1.24	0.74	0.56	0.48
1776	NA	NA	0.45	1.75	0.41	0.95	NA	1.7	0.46	0.38	0.61
1777	NA	NA	0.7	2.91	0.91	1.59	NA	1.42	0.94	0.71	0.69
1778	NA	NA	0.7	2.22	0.81	1.11	NA	1.66	0.94	0.62	0.55
1779	NA	NA	0.9	2.91	0.83	1.36	NA	1.06	0.95	0.95	0.88
1780	0.89	1.06	0.83	3.48	0.75	1.07	NA	0.93	0.93	0.85	0.75
1781	2.29	1.88	0.6	3.5	0.56	1.5	NA	1.66	0.94	0.63	0.96
1782	2.27	1.54	0.91	2.85	1.11	1.9	NA	0.97	1.17	0.95	1.01
1783	1.23	1.63	0.65	3.37	0.7	0.93	NA	0.66	0.98	0.5	0.35
1784	2.25	1.64	0.71	2.47	0.94	1.4	NA	1.33	1.18	0.82	1.17
1785	1.3	1.17	0.8	1.79	0.74	1.48	NA	1.03	0.77	0.75	1.39
1786	1.84	1.41	0.93	2.25	0.88	1.52	NA	1.27	1.15	0.9	1.35
1787	1.12	0.85	0.73	1.28	0.62	0.3	NA	0.95	0.64	0.61	0.36
1788	1.8	1.39	1.04	1.95	0.91	1.38	NA	0.95	0.97	0.91	1.44
1789	1.21	1.21	0.98	1.92	0.69	1.41	NA	0.47	0.78	0.86	1.82
1790	0.92	1.29	1.04	1.6	0.82	1.06	1.12	0.74	1.04	0.93	1.87
1791	1.15	1.83	1.29	1.85	0.97	1.26	1.48	0.46	0.88	1.46	1.63
