# Xiong - Stratford Side East Egmont - LIBI - ITRDB NEWZ071
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5374
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5374.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/newz071-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; newz071-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/newz071.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/newz071.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Xiong - Stratford Side East Egmont - LIBI - ITRDB NEWZ071
#--------------------
# Investigators
#   Investigators: Xiong, L.; Palmer, J.G.(https://orcid.org/0000-0002-6665-4483)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-01.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Stratford Side East Egmont
#   Location: New Zealand
#   Northernmost_Latitude: -39.32
#   Southernmost_Latitude: -39.32
#   Easternmost_Longitude: 174.12
#   Westernmost_Longitude: 174.12
#   Elevation_m: 860
#--------------------
# Data_Collection
#   Collection_Name: NEWZ071
#   First_Year: 1626
#   Last_Year: 1990
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Libocedrus bidwillii Hook. f.
#   Common_Name: New Zealand cedar
#   Tree_Species_Code: LIBI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## str1.1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: str1.1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## str1.2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: str1.2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR2.2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR2.2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR3.1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR3.1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR3.2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR3.2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR4.2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR4.2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR4.3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR4.3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR5.1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR5.1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR5.2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR5.2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR6.1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR6.1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR7.1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR7.1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	str1.1_raw	str1.2_raw	STR2.2_raw	STR3.1_raw	STR3.2_raw	STR4.2_raw	STR4.3_raw	STR5.1_raw	STR5.2_raw	STR6.1_raw	STR7.1_raw
1697	0.8	1.21	NA	1.54	NA	1.05	1.33	NA	NA	1.44	NA
1698	1.05	0.92	NA	1.58	NA	1.26	1.35	NA	NA	1.24	NA
1699	0.77	0.96	NA	1.54	NA	0.95	1.17	NA	NA	0.96	NA
1700	0.88	1.19	NA	2	NA	1.04	1.12	NA	NA	1.28	NA
1701	0.81	1.03	NA	1.95	NA	1.21	1.17	NA	NA	0.97	NA
1702	1.07	1.16	NA	1.71	NA	1.2	1.33	NA	NA	1.25	NA
1703	1.22	1.33	NA	2.06	NA	1.24	1.42	NA	NA	1.23	NA
1704	1.03	1.25	NA	2.05	NA	1.19	1.59	NA	NA	1.11	NA
1705	0.98	1.21	NA	1.99	NA	1.18	1.46	NA	NA	1.59	NA
1706	1.4	1.41	NA	2.45	NA	1.67	2	NA	NA	2.09	NA
1707	1.25	1.2	NA	1.81	NA	1.25	1.46	NA	NA	1.55	NA
1708	0.87	1	NA	1.48	NA	1.27	1.35	NA	NA	1.37	NA
1709	0.8	0.84	NA	1.6	NA	1.31	1.01	NA	NA	1.16	NA
1710	0.67	0.76	NA	1.23	1.58	1.09	0.92	NA	NA	1.37	NA
1711	0.62	0.86	NA	1.14	1.58	0.99	0.9	NA	NA	1.02	NA
1712	0.91	0.8	NA	1.22	1.69	0.98	1.03	NA	NA	1.25	NA
1713	0.85	0.74	NA	1.02	1.65	0.93	0.88	NA	NA	1.23	NA
1714	0.91	0.79	NA	1.56	1.76	0.81	1.15	NA	NA	1.36	NA
1715	0.76	0.63	NA	1.72	1.77	0.84	1.12	NA	NA	1.09	NA
1716	0.99	0.7	NA	1.35	1.72	1.08	1.1	NA	NA	1.29	NA
1717	0.98	0.72	NA	1.3	1.64	0.99	1.13	NA	NA	1.2	NA
1718	0.89	0.81	NA	1.22	1.26	0.9	0.97	NA	NA	1.04	NA
1719	0.85	0.73	NA	1.07	1.43	0.96	0.96	NA	NA	0.8	NA
1720	1.07	0.65	NA	0.66	1.07	0.88	0.92	NA	NA	1.02	NA
1721	0.75	0.63	NA	0.95	1.26	0.94	0.79	NA	NA	0.86	NA
1722	0.69	0.53	NA	0.91	0.96	0.75	0.82	NA	NA	1	NA
1723	0.84	0.54	NA	1.01	1.02	0.7	0.82	NA	NA	0.7	NA
1724	0.81	0.5	NA	0.52	0.63	0.58	0.72	NA	NA	0.6	NA
1725	0.94	0.65	NA	0.72	0.79	0.62	0.93	NA	NA	0.86	NA
1726	1.04	0.82	NA	0.66	0.86	0.63	0.83	NA	NA	0.85	NA
1727	1.03	0.81	NA	0.94	0.9	0.78	0.8	NA	NA	0.79	NA
1728	1.41	1.36	NA	1.27	1.62	1.11	0.61	NA	NA	1.28	NA
1729	1.17	1.03	NA	1.12	1.21	0.88	0.62	NA	NA	1.08	NA
1730	1.18	1.14	NA	1.06	1.65	0.98	1.32	NA	NA	0.99	NA
1731	1.04	0.98	NA	0.71	0.96	0.75	0.67	NA	NA	0.57	NA
1732	1.25	1.28	NA	1.13	1.23	0.82	0.71	NA	NA	1.06	NA
1733	1.21	1.13	NA	0.82	1.04	0.71	1.03	NA	NA	0.75	NA
1734	1.33	1.45	NA	0.78	1.19	0.73	1.42	NA	NA	0.83	NA
1735	1.44	1.33	NA	0.83	1.22	0.69	1.14	NA	NA	0.93	NA
1736	1.57	1.67	NA	0.99	1.63	0.94	1.04	NA	NA	1.13	NA
1737	1.26	0.76	NA	0.79	1.34	0.82	1.18	NA	NA	0.94	NA
1738	1.84	0.54	NA	0.96	1.42	0.72	1.11	NA	NA	1.04	NA
1739	1.56	1.44	NA	1.27	1.47	0.95	0.84	NA	NA	1.04	NA
1740	1.48	1.56	NA	0.87	1.37	0.7	0.8	NA	0.89	0.69	NA
1741	1.34	0.77	NA	0.25	0.43	0.27	1.12	NA	0.66	0.43	NA
1742	1.99	1.21	NA	0.3	0.47	0.43	0.82	NA	0.65	0.74	NA
1743	1.68	0.97	NA	0	0.31	0.35	0.28	NA	0.42	0.37	NA
1744	1.16	0.8	NA	0.31	0	0.16	0.33	NA	0.42	0.13	NA
1745	0.88	0.67	NA	0.11	0.39	0.15	0.18	NA	0.47	0.17	NA
1746	0.63	0.51	NA	0.26	0.26	0.36	0.23	NA	0.57	0.38	NA
1747	0.78	0.6	NA	0.2	0.27	0.64	0.25	NA	0.59	0.48	NA
1748	0.86	0.57	NA	0.38	0.31	0.76	0.59	NA	0.93	0.61	NA
1749	1.23	0.78	NA	0.69	0.43	0.65	0.64	NA	1.84	0.88	NA
1750	1.16	0.7	NA	0.52	0.58	0.65	0.56	NA	1.86	0.85	NA
1751	1.18	0.58	NA	0.68	0.67	0.68	0.77	NA	1.69	0.77	NA
1752	1.08	0.5	NA	0.67	0.77	0.37	0.51	NA	1.62	0.39	NA
1753	1.24	0.8	NA	0.98	0.5	0.82	0.92	NA	1.58	0.72	NA
1754	1.33	1.09	NA	1.12	1.06	0.68	0.88	NA	1.01	1.01	NA
1755	1.1	0.88	NA	1.05	0.91	0.6	0.85	NA	0.74	1.01	NA
1756	1.7	1.14	NA	1.33	1.13	0.61	0.85	NA	0.71	1.53	NA
1757	1.77	1.37	NA	1.32	0.99	0.8	0.82	NA	0.72	1.53	NA
1758	1.39	1.48	NA	1.35	1.03	0.94	0.84	NA	1.53	1.29	NA
1759	1.41	1.59	NA	1.23	0.94	0.86	0.94	NA	1.5	1.44	NA
1760	1.64	1.52	NA	1.16	0.95	0.83	0.78	NA	1.23	1.27	NA
1761	1.45	1.6	NA	1.02	1.09	0.95	0.92	NA	0.87	1.13	NA
1762	1.21	1.49	NA	0.98	1.19	0.95	1.09	NA	0.84	0.77	NA
1763	1.08	1.34	NA	0.91	1.09	1.15	1.08	NA	0.86	1.03	NA
1764	1	1.09	NA	0.82	0.94	1.13	1.01	NA	0.85	0.95	NA
1765	0.98	0.83	NA	0.82	0.74	0.84	0.58	NA	0.82	1.07	NA
1766	1.16	0.9	NA	0.95	1.05	1.32	0.89	NA	1.03	0.87	NA
1767	1.24	0.76	NA	0.84	0.77	0.99	0.87	NA	1.37	1.09	NA
1768	1.04	0.71	NA	0.82	0.78	0.87	0.71	NA	1.41	0.94	NA
1769	0.93	0.49	NA	0.83	0.7	0.78	0.82	NA	1.36	0.87	NA
1770	1.04	0.68	NA	0.5	0.49	0.52	0.83	NA	0.8	1.05	NA
1771	1.02	0.58	NA	0.47	0.63	0.65	0.84	NA	0.82	1.02	NA
1772	1.13	0.68	NA	0.44	0.57	0.64	1.32	NA	1.03	1.32	NA
1773	1.18	0.79	NA	0.6	0.65	0.65	1.27	NA	1.02	1.26	NA
1774	1.16	0.86	NA	0.64	0.69	0.66	1.15	NA	1.23	1.34	NA
1775	0.81	0.98	NA	0.94	0.89	0.86	1.16	NA	1.22	1.15	NA
1776	1.11	1.09	NA	0.88	1.05	1.01	1.15	NA	1.05	1.05	NA
1777	1.2	1.23	NA	0.8	0.97	0.81	1.49	NA	1.44	1.28	NA
1778	1.17	1.4	NA	1.01	0.86	0.96	1.32	NA	1.52	1.09	NA
1779	1.69	1.55	NA	1.11	0.94	0.93	1.44	NA	1.99	1.42	NA
1780	1.47	1.52	NA	0.98	0.94	0.94	1.57	NA	1.72	1.13	NA
1781	0.96	1.14	NA	0.83	0.52	0.65	1.35	NA	1.71	1.13	NA
1782	1.1	1.23	NA	0.74	0.35	0.82	1.11	NA	1.77	1.23	NA
1783	1.06	1.18	NA	0.64	0.48	0.87	1.38	NA	2.18	1.18	NA
1784	1.13	1.18	NA	0.88	0.52	0.92	1.09	NA	2.4	1.34	NA
1785	1.13	1.18	NA	0.63	0.51	0.79	1.31	NA	2.44	1.19	NA
1786	1.14	1.34	NA	0.81	0.74	1.05	1.38	NA	2.4	1.27	NA
1787	1.06	1.11	NA	0.84	0.47	0.97	1.22	NA	2.18	1.17	NA
1788	1.09	1.02	NA	0.72	0.79	1.13	1.1	NA	1.79	1.18	NA
1789	1.34	1.33	NA	0.92	0.73	1.52	1.42	NA	2.27	1.03	NA
1790	1.12	1.02	NA	0.8	0.57	1	1.1	NA	1.89	1.19	NA
1791	1.01	0.81	NA	0.9	0.65	0.94	1.23	NA	1.88	1.14	NA
1792	0.87	0.96	NA	0.79	0.56	0.88	1.08	NA	1.62	1	NA
1793	0.76	0.77	NA	0.73	0.51	0.69	1.03	NA	1.49	1	NA
1794	1.06	1	NA	0.72	0.6	0.78	1	NA	1.79	0.9	NA
1795	1.4	1.25	NA	0.82	0.52	0.62	1.33	NA	2.54	0.89	NA
1796	1.11	1.17	NA	0.55	0.54	0.34	1.42	NA	2.03	0.86	NA
1797	1.41	1.57	NA	0.69	0.92	0.59	1.74	NA	2.38	0.87	NA
1798	1.13	1.28	NA	0.77	0.82	0.71	1.64	NA	2.42	0.68	NA
1799	1.32	1.66	NA	0.92	1.09	0.61	1.8	NA	2.09	1.19	NA
1800	1.34	1.7	NA	1.03	0.98	0.55	1.68	NA	2.2	1.23	NA
1801	1.44	1.94	NA	1.16	0.94	0.58	1.81	0.91	2.22	1.18	NA
1802	1.17	1.43	NA	0.81	0.47	0.54	1.41	0.69	1.2	1.01	NA
1803	1.08	1.1	NA	0.57	0.45	0.43	1.27	0.64	1.44	0.84	NA
1804	1.54	1.48	NA	0.91	0.58	0.67	1.77	0.94	1.8	1.71	NA
1805	1.72	1.46	NA	1.13	0.39	0.86	1.83	0.88	1.33	1.49	NA
1806	1.52	1.51	NA	0.92	0.62	0.93	1.57	0.88	1.45	1.36	NA
1807	1.5	1.48	NA	0.73	0.6	0.95	1.59	0.94	1.47	1.13	NA
1808	1.12	1.41	NA	0.85	0.72	0.94	1.41	0.78	1.3	1.09	NA
1809	1.14	1.09	NA	0.84	0.92	0.92	1.21	0.91	1.71	1	NA
1810	0.96	1.16	NA	0.65	0.88	0.98	1.19	0.85	1.73	0.92	NA
1811	0.95	0.67	NA	0.78	0.95	0.87	1.16	0.96	1.33	0.86	NA
1812	1.02	1.1	NA	0.87	0.94	1.11	0.97	0.91	1.98	1.15	NA
1813	0.85	0.79	NA	0.72	0.87	0.89	0.77	0.82	1.55	0.84	NA
1814	0.71	0.78	NA	0.56	0.75	0.88	0.86	0.58	1.07	0.98	NA
1815	1.05	1	0.98	0.62	0.72	0.81	1.04	0.78	1.26	1.01	2.01
1816	1.15	0.92	0.77	0.49	0.55	0.7	0.96	0.71	1.22	0.96	1.99
1817	1.15	0.85	0.92	0.48	0.44	0.54	0.67	0.28	0.93	0.67	1.77
1818	1.03	0.94	0.99	0.48	0.63	0.67	0.97	0.26	0.84	0.88	2.19
1819	1.25	0.88	0.98	0.51	0.74	0.7	1.06	0.46	1.15	0.67	1.67
1820	1.19	0.77	0.87	0.43	0.86	0.8	1.09	0.47	1.16	0.72	1.6
1821	1.29	0.9	0.88	0.57	1.29	0.97	1.21	0.53	1.62	1.27	1.94
1822	1.17	0.75	0.89	0.56	1.35	0.81	1.24	0.62	1.17	1.04	3.15
1823	1.06	1.03	0.84	0.47	1.01	0.79	1.08	0.58	1.3	0.88	2.17
1824	1.45	1.13	0.96	0.71	1.37	1.07	1.08	0.49	1.52	0.91	2.23
1825	1.5	1.2	0.71	0.5	1.14	0.76	1.17	0.75	1.23	0.99	2.31
1826	1.07	0.93	0.67	0.46	1.01	0.57	1	0.75	0.96	0.94	2.2
1827	1.1	1.05	0.89	0.55	1.02	0.81	1.1	0.55	1.09	0.95	1.93
